experiment_id,sample_name,filename,met_id,scan_type,precursor_formula
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glyc3p_172_EPI_peakList.txt,glyc3p,EPI,C2[13C]H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glyc3p_173_EPI_peakList.txt,glyc3p,EPI,C[13C]2H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glyc3p_171_EPI_peakList.txt,glyc3p,EPI,C3H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glyc3p_172_EPI_peakList.txt,glyc3p,EPI,C2[13C]H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glyc3p_173_EPI_peakList.txt,glyc3p,EPI,C[13C]2H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glyclt_75_EPI_peakList.txt,glyclt,EPI,C2H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glyclt_75_EPI_peakList.txt,glyclt,EPI,C2H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glyclt_75_EPI_peakList.txt,glyclt,EPI,C2H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_gtp_522_EPI_peakList.txt,gtp,EPI,C10H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_gtp_523_EPI_peakList.txt,gtp,EPI,C9[13C]H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_gtp_522_EPI_peakList.txt,gtp,EPI,C10H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_gtp_523_EPI_peakList.txt,gtp,EPI,C9[13C]H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_gtp_522_EPI_peakList.txt,gtp,EPI,C10H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_gtp_523_EPI_peakList.txt,gtp,EPI,C9[13C]H15N5O14P3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_icit_191_EPI_peakList.txt,icit,EPI,C6H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_icit_192_EPI_peakList.txt,icit,EPI,C5[13C]H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_icit_193_EPI_peakList.txt,icit,EPI,C4[13C]2H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_icit_191_EPI_peakList.txt,icit,EPI,C6H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_icit_192_EPI_peakList.txt,icit,EPI,C5[13C]H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_icit_193_EPI_peakList.txt,icit,EPI,C4[13C]2H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_icit_191_EPI_peakList.txt,icit,EPI,C6H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_icit_192_EPI_peakList.txt,icit,EPI,C5[13C]H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_icit_193_EPI_peakList.txt,icit,EPI,C4[13C]2H7O7-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_mal-L_133_EPI_peakList.txt,mal-L,EPI,C4H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_mal-L_133_EPI_peakList.txt,mal-L,EPI,C4H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_mal-L_133_EPI_peakList.txt,mal-L,EPI,C4H5O5-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_met-L_148_EPI_peakList.txt,met-L,EPI,C5H10NO2S-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_met-L_148_EPI_peakList.txt,met-L,EPI,C5H10NO2S-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_met-L_148_EPI_peakList.txt,met-L,EPI,C5H10NO2S-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_pep_167_EPI_peakList.txt,pep,EPI,C3H4O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_pep_167_EPI_peakList.txt,pep,EPI,C3H4O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_pep_167_EPI_peakList.txt,pep,EPI,C3H4O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_pyr_87_EPI_peakList.txt,pyr,EPI,C3H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_pyr_87_EPI_peakList.txt,pyr,EPI,C3H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_pyr_87_EPI_peakList.txt,pyr,EPI,C3H3O3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_r5p_229_EPI_peakList.txt,r5p,EPI,C5H10O8P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_r5p_229_EPI_peakList.txt,r5p,EPI,C5H10O8P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_r5p_229_EPI_peakList.txt,r5p,EPI,C5H10O8P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_s7p_289_EPI_peakList.txt,s7p,EPI,C7H14O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_s7p_289_EPI_peakList.txt,s7p,EPI,C7H14O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_s7p_289_EPI_peakList.txt,s7p,EPI,C7H14O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_succ_117_EPI_peakList.txt,succ,EPI,C4H5O4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_succ_117_EPI_peakList.txt,succ,EPI,C4H5O4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_succ_117_EPI_peakList.txt,succ,EPI,C4H5O4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_thr-L_118_EPI_peakList.txt,thr-L,EPI,C4H8NO3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_thr-L_118_EPI_peakList.txt,thr-L,EPI,C4H8NO3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_thr-L_118_EPI_peakList.txt,thr-L,EPI,C4H8NO3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_ump_323_EPI_peakList.txt,ump,EPI,C9H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_ump_324_EPI_peakList.txt,ump,EPI,C8[13C]H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_ump_325_EPI_peakList.txt,ump,EPI,C7[13C]2H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_ump_323_EPI_peakList.txt,ump,EPI,C9H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_ump_324_EPI_peakList.txt,ump,EPI,C8[13C]H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_ump_325_EPI_peakList.txt,ump,EPI,C7[13C]2H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_ump_323_EPI_peakList.txt,ump,EPI,C9H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_ump_324_EPI_peakList.txt,ump,EPI,C8[13C]H12N2O9P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_ump_325_EPI_peakList.txt,ump,EPI,C7[13C]2H12N2O9P-
