experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_163_EPI.txt,10,_,phpyr,_,163,_,EPI,.txt,C9H7O3-,TRUE
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_164_EPI.txt,10,_,phe-L,_,164,_,EPI,.txt,C9H10NO2-,TRUE
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10-10x,10_phpyr_164_EPI.txt,10,_,phpyr,_,164,_,EPI,.txt,C8[13C]H7O3-,TRUE
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_164_EPI.txt,10,_,phpyr,_,164,_,EPI,.txt,C8[13C]H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_165_EPI.txt,10,_,phe-L,_,165,_,EPI,.txt,C8[13C]H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_165_EPI.txt,10,_,phpyr,_,165,_,EPI,.txt,C7[13C]2H7O3-,TRUE
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_165_EPI.txt,10,_,phpyr,_,165,_,EPI,.txt,C7[13C]2H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_165_EPI.txt,10,_,phpyr,_,165,_,EPI,.txt,C7[13C]2H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_166_EPI.txt,10,_,phe-L,_,166,_,EPI,.txt,C7[13C]2H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_166_EPI.txt,10,_,phpyr,_,166,_,EPI,.txt,C6[13C]3H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_166_EPI.txt,10,_,phpyr,_,166,_,EPI,.txt,C6[13C]3H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_166_EPI.txt,10,_,phpyr,_,166,_,EPI,.txt,C6[13C]3H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pep_167_EPI.txt,10,_,pep,_,167,_,EPI,.txt,C3H4O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_167_EPI.txt,10,_,phe-L,_,167,_,EPI,.txt,C6[13C]3H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_167_EPI.txt,10,_,phpyr,_,167,_,EPI,.txt,C5[13C]4H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_167_EPI.txt,10,_,phpyr,_,167,_,EPI,.txt,C5[13C]4H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_167_EPI.txt,10,_,phpyr,_,167,_,EPI,.txt,C5[13C]4H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pep_168_EPI.txt,10,_,pep,_,168,_,EPI,.txt,C2[13C]H4O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_168_EPI.txt,10,_,phe-L,_,168,_,EPI,.txt,C5[13C]4H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_168_EPI.txt,10,_,phpyr,_,168,_,EPI,.txt,C4[13C]5H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_168_EPI.txt,10,_,phpyr,_,168,_,EPI,.txt,C4[13C]5H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_168_EPI.txt,10,_,phpyr,_,168,_,EPI,.txt,C4[13C]5H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_dhap_169_EPI.txt,10,_,dhap,_,169,_,EPI,.txt,C3H6O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pep_169_EPI.txt,10,_,pep,_,169,_,EPI,.txt,C[13C]2H4O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_169_EPI.txt,10,_,phe-L,_,169,_,EPI,.txt,C4[13C]5H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_169_EPI.txt,10,_,phpyr,_,169,_,EPI,.txt,C3[13C]6H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_169_EPI.txt,10,_,phpyr,_,169,_,EPI,.txt,C3[13C]6H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_169_EPI.txt,10,_,phpyr,_,169,_,EPI,.txt,C3[13C]6H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_dhap_170_EPI.txt,10,_,dhap,_,170,_,EPI,.txt,C2[13C]H6O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pep_170_EPI.txt,10,_,pep,_,170,_,EPI,.txt,[13C]3H4O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_170_EPI.txt,10,_,phe-L,_,170,_,EPI,.txt,C3[13C]6H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_170_EPI.txt,10,_,phpyr,_,170,_,EPI,.txt,C2[13C]7H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_170_EPI.txt,10,_,phpyr,_,170,_,EPI,.txt,C2[13C]7H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_170_EPI.txt,10,_,phpyr,_,170,_,EPI,.txt,C2[13C]7H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_dhap_171_EPI.txt,10,_,dhap,_,171,_,EPI,.txt,C[13C]2H6O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyc3p_171_EPI.txt,10,_,glyc3p,_,171,_,EPI,.txt,C3H8O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_171_EPI.txt,10,_,phe-L,_,171,_,EPI,.txt,C2[13C]7H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_171_EPI.txt,10,_,phpyr,_,171,_,EPI,.txt,C[13C]8H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_171_EPI.txt,10,_,phpyr,_,171,_,EPI,.txt,C[13C]8H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_dhap_172_EPI.txt,10,_,dhap,_,172,_,EPI,.txt,[13C]3H6O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyc3p_172_EPI.txt,10,_,glyc3p,_,172,_,EPI,.txt,C2[13C]H8O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_172_EPI.txt,10,_,phe-L,_,172,_,EPI,.txt,C[13C]8H10NO2-,
