id,mapping_id,rxn_id,rxn_description,reactants_stoichiometry_tracked,products_stoichiometry_tracked,reactants_ids_tracked,products_ids_tracked,reactants_mapping,products_mapping,rxn_equation,used_,comment_,reactants_elements_tracked,products_elements_tracked,reactants_positions_tracked,products_positions_tracked,corrected
913,full02,ACOTA_reverse,,"{-1,-1}","{1,1}","{acg5sa_c,glu_DASH_L_c}","{acorn_c,akg_c}","{abcdefg,hijkl}","{abcdefg,hijkl}",,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4]]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4]]",
8,central03,ACS,,{-1},{1},{ac_c},{accoa_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
914,full02,ACS,,"{-1,-1}",{1},"{ac_c,coa_c}",{accoa_c},"{ab,ABCDEFGHIJKLMNOPQRSTU}",{ABCDEFGHIJKLMNOPQRSTUab},,t,,"[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",
915,full02,ACS,,{-1},{1},{ac_c},{accoa_c},{ab},{ab},,f,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
7,central03,ACS_coa,,"{-1,-1}",{1},"{ac_c,coa_c}",{accoa_c},"{ab,ABCDEFGHIJKLMNOPQRSTU}",{ABCDEFGHIJKLMNOPQRSTUab},,f,,"[[""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",
9,central03,ACt2rpp,,{-1},{1},{ac_p},{ac_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
907,full02,ACt2rpp,,{-1},{1},{ac_p},{ac_c},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
11,central03,ACt2rpp_reverse,,{-1},{1},{ac_c},{ac_p},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
904,full02,ACt2rpp_reverse,,{-1},{1},{ac_c},{ac_p},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
10,central03,ACtex,,{-1},{1},{ac_e},{ac_p},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
903,full02,ACtex,,{-1},{1},{ac_e},{ac_p},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
12,central03,Actex_reverse,,{-1},{1},{ac_p},{ac_e},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
917,full02,Actex_reverse,,{-1},{1},{ac_p},{ac_e},{ab},{ab},,t,,"[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]",
845,central03,ADCL,,{-1},"{1,1}",{4adcho_c},"{pyr_c,4abz_c}",{abcdefghij},"{ihj,abcdefg}",,t,,"[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6]]",
