,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
g6p,292936.4944,290738.824,252613.7732,261354.8542,204078.0508,221874.3078,211548.056,204996.5457,288712.6973,265915.9419,286974.1743,264876.33,216633.3767,208092.3718,181851.3164,228839.8575,335911.2879,318795.7571,310162.6508,272227.057,208511.9371,168006.0541,216734.9706,217064.4231,315181.8433,404326.0,262568.8255,226908.4906,213405.5006,209889.3654,200495.8454,158830.2396
gam6p,59960.05098,77738.89554,59921.71886,66818.54951,56392.04331,49432.81428,55413.43561,51999.3319,72605.1447,69138.83988,58546.74996,63475.49507,44295.66036,62747.77173,45008.92906,48814.57187,68489.55454,63044.52206,65677.71147,59053.18367,37464.33316,38232.56086,41119.09918,42876.11197,73579.71438,93443.88027,73907.70293,57340.66983,64111.82591,49661.2446,56640.01941,41268.55908
gdp,196088.5817,213833.6852,228566.0772,245605.0929,162781.3676,173664.5423,197865.2165,188686.5452,291022.7744,278512.9417,271174.5582,237050.2035,155402.0106,155247.6448,157011.0817,137261.3642,222277.547,245838.409,289813.9674,241680.4835,99964.60558,100098.6263,115080.6111,122571.3633,361376.6664,355095.4045,237037.1581,200859.8015,185136.4954,172956.2985,201121.7575,97582.3343
gln-L,792393.6563,879077.5226,825478.6873,949602.7524,868060.806,837079.2544,817174.606,834457.2998,805435.496,801832.1583,801152.2448,754420.974,823631.5694,724551.6931,663826.4631,777232.4476,637588.2407,662565.19,675056.4353,758481.63,466857.0598,491316.9873,527484.985,579880.1304,950108.8729,930586.8916,912955.8398,863659.4351,840280.0154,894852.3874,808203.5247,738782.9887
glu-L,1956555.596,1886473.773,1944953.799,1973949.817,1879518.942,1816098.733,1858928.691,1776551.254,2142459.442,1970243.0,1934923.394,2027594.516,1692818.204,1669413.284,1708775.822,1750782.195,2228276.317,2051038.385,2066631.23,1950191.414,1437597.613,1547069.474,1537267.873,1519179.684,2398274.267,2123653.686,1841632.511,1875792.922,1664820.514,1637414.719,1855893.016,1409864.737
glutacon,96871.07015,63321.70906,90074.10196,90415.18471,103353.474,85285.92184,105163.0788,82842.76835,91933.22759,96517.25846,105238.188,136926.6462,88598.13826,71702.12625,70061.18868,94227.82175,1194187.964,737422.0025,801363.2104,1007185.76,778001.7985,537787.0473,530341.0685,696940.7977,123922.3738,114105.9326,103590.9504,114886.1831,103549.8743,108553.1836,90368.8595,82369.79965
glx,14467.48529,15930.49111,17816.81554,14561.07642,14313.98352,14246.58173,13739.8027,14419.94943,14606.86543,14993.0,15617.68583,15701.0,14845.50913,12533.18142,12237.11841,12904.79031,17756.23096,15687.60598,15584.20608,15668.40311,11775.70903,11703.56894,13175.21201,12524.98951,18356.38947,14707.20156,16000.22442,16403.80092,15180.4073,14038.28625,13612.19632,14128.10038
glyc3p,168403.2152,164402.6534,174710.4823,219986.0671,168759.9244,145072.9641,143100.1109,146432.3821,198925.7848,187281.0265,197318.8204,172450.0,127306.9109,130924.9684,138531.8712,133553.3608,227785.8065,214932.0,214852.745,199662.1288,114521.7762,125085.6472,123045.2663,156993.7981,210330.3171,191806.8833,179903.0979,167484.5308,140670.926,138004.8494,140426.522,105068.9132
glyclt,644006.9901,626383.5004,637836.0,653686.9756,632064.3751,585969.0,623241.6907,611732.2042,625196.0834,678942.6027,665290.8038,662620.1885,609152.1526,555612.4088,530048.9269,564509.4837,758889.7888,676912.5315,704176.0899,645497.71,486782.1715,500597.9801,550091.5205,551263.7376,677893.2908,654957.0736,613582.3955,623423.9568,588206.8184,571044.0,596288.693,532519.2748
gsn,76362.02048,88636.93039,97095.625,100102.7755,89679.21481,88369.80357,85236.10714,89814.49812,104014.9286,100527.4328,92552.42183,88585.09318,89288.48245,87959.07653,140375.852,103562.655,1329060.127,107246.0714,91688.58175,100620.3811,487176.5672,66515.80762,73135.55961,77529.58243,105587.6311,98444.02688,100302.7437,82828.8894,80926.20714,83692.53281,88284.64286,75732.41842
gthox,568000.6646,571988.9569,571043.9484,586807.7322,532234.2636,500393.5396,520838.6165,539186.8565,644804.2947,577016.7502,533969.0915,598531.2638,503472.6155,509187.1223,422102.7793,455596.1398,670200.4386,703571.3994,692307.3836,695161.3952,473021.6244,492393.2667,448058.6378,487709.0836,680872.8671,658324.7467,608242.9457,610088.6143,510889.8572,556981.1217,502409.3252,383354.7395
gthrd,15302.0,19920.55135,20874.70717,23156.62822,15289.90849,13744.46804,17868.08365,16937.27654,10576.46179,3400.0,11788.0,12815.22338,7481.0,1217.345535,9493.012136,12037.92279,453.0,283.0,624.0,1722.094809,247.1359295,453.0,567.0,953.834113,40966.60403,43435.5684,34324.77354,31172.46478,22746.8364,24207.16765,20011.09953,11008.47328
gtp,145210.9261,153111.3719,180293.9168,235129.6208,120803.5654,130464.4283,143508.598,133585.0663,201361.5432,191435.517,195913.2323,164903.8678,140955.6243,106103.6494,124113.298,120622.9932,169010.7435,183869.4081,207819.2766,200043.1331,68978.25889,77376.67916,102204.5614,103175.6274,269929.9575,257334.5614,176562.4784,160412.2776,132419.8959,131935.3484,152162.6369,84606.32746
gua,198418.9661,199169.4221,205751.3786,186647.4316,203222.6978,198944.1233,183364.0676,187357.2068,200519.6936,186924.7384,192620.1616,186526.5568,169845.3205,183425.1552,197026.047,181190.4898,183945.6571,174128.1506,186249.6154,181116.338,152765.7113,137244.0621,157140.3962,157228.7887,234033.5321,228319.0464,202714.5135,190658.5253,174774.592,179810.3721,192545.6219,163510.2365
