sample_name_short,met_id,sample_id,time [hr],OD600,culture_density [gDW*L-1],concentration [mM],growth_rate [hr-1],,,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-3,17665317,0.36873124,0.165929058,19.34577,0.166212343,,-15.84094254,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-3,17665318.33,0.460210728,0.207094828,18.73932,0.166212343,,-14.73189997,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-3,17665320.85,0.699234072,0.314655332,16.91741,0.166212343,,-16.93846644,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-3,17665322.28,0.887335583,0.399301012,15.01603,0.166212343,-16.10781967,-22.4628121,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17665680.85,2.50E-30,1.12E-30,21.94979,0.183147171,,,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17665685.55,5.90E-30,2.66E-30,22.03637,0.183147171,,5.64538E+28,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17666048.96,0.474964179,0.21373388,20.97925,0.183147171,,-4.945963633,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17666049.63,0.536645379,0.24149042,20.41889,0.183147171,,-20.18839526,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17666051.11,0.704160143,0.316872064,18.85327,0.183147171,,-20.76924727,
OxicEvo04ptsHIcrrEcoliGlc_Broth-1,glc-D,140718_6_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1,17666052.2,0.858696242,0.386413309,16.20639,0.183147171,-20.6457654,-38.06201641,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17665680.87,2.18E-32,9.83E-33,21.91275,0.196312164,,,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17665685.57,5.50E-32,2.47E-32,22.03585,0.196312164,,8.2588E+30,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17666048.98,0.528906391,0.238007876,20.41962,0.196312164,,-6.790657636,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17666049.65,0.602860748,0.271287337,19.93422,0.196312164,,-14.58557289,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17666051.13,0.806644148,0.362989867,17.61491,0.196312164,,-25.29166859,
OxicEvo04ptsHIcrrEcoliGlc_Broth-2,glc-D,140718_6_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2,17666052.21,0.997801269,0.449010571,14.02242,0.196312164,-23.04849631,-41.76308521,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,ac,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666051.16,0.886701417,0.399015638,0.2241,0.200345433,,,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,ac,140718_6_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666053.75,1.487820145,0.669519065,0.3861,0.200345433,,,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140717_1_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17665680.89,5.38E-33,2.42E-33,21.99754,0.200345433,,,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140717_2_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17665685.59,1.38E-32,6.20E-33,22.07671,0.200345433,,2.09194E+31,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140718_3_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666049,0.574457739,0.258505983,20.47982,0.200345433,,-6.177381212,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140718_4_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666049.66,0.65654429,0.29544493,19.79039,0.200345433,,-18.66403997,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140718_5_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666051.16,0.886701417,0.399015638,17.03297,0.200345433,,-26.62355098,
OxicEvo04ptsHIcrrEcoliGlc_Broth-3,glc-D,140718_6_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-3,17666053.75,1.487820145,0.669519065,15.17667,0.200345433,-24.98466915,-6.862389932,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665315.45,0.122235745,0.055006085,0.42604,0.675048818,,,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_2_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665316.48,0.245550337,0.110497652,1.10996,0.675048818,,12.32475574,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_3_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665317.03,0.355945922,0.160175665,1.82853,0.675048818,,14.46454785,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_4_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665317.68,0.5520069,0.248403105,3.16766,0.675048818,,15.17815772,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_5_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665318.5,0.958002527,0.431101137,6.05248,0.675048818,,15.79009892,
OxicEvo04sdhCBEcoliGlc_Broth-1,ac,140716_6_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665318.8,1.173053035,0.527873866,7.40769,0.675048818,15.03640419,14.00404868,
OxicEvo04sdhCBEcoliGlc_Broth-1,glc-D,140716_1_OxicEvo04sdhCBEcoliGlcM9_Broth-1,17665315.45,0.122235745,0.055006085,21.26175,0.675048818,,,
