component_group_name,actual_concentration,sample_type,sample_name
uri,0.002,Standard,140826_CM1_Level14
uri,0.002,Standard,140826_CM1_Level14
gua,0.002,Standard,140826_CM1_Level14
hxan,2e-05,Standard,140826_CM1_Level14
tyr-L,0.0,Standard,140826_CM1_Level14
tyr-L,0.0,Standard,140826_CM1_Level14
xan,0.0004,Standard,140826_CM1_Level14
ins,0.001,Standard,140826_CM1_Level14
ins,0.001,Standard,140826_CM1_Level14
gsn,0.0001,Standard,140826_CM1_Level14
gsn,0.0001,Standard,140826_CM1_Level14
thym,0.001,Standard,140826_CM1_Level14
ade,0.002,Standard,140826_CM1_Level14
ade,0.002,Standard,140826_CM1_Level14
gam6p,0.002,Standard,140826_CM1_Level14
gam6p,0.002,Standard,140826_CM1_Level14
adn,0.01,Standard,140826_CM1_Level14
phe-L,0.0,Standard,140826_CM1_Level14
phe-L,0.0,Standard,140826_CM1_Level14
asp-L,0.0,Standard,140826_CM1_Level14
asp-L,0.0,Standard,140826_CM1_Level14
glu-L,0.0,Standard,140826_CM1_Level14
glu-L,0.0,Standard,140826_CM1_Level14
skm,0.0,Standard,140826_CM1_Level14
skm,0.0,Standard,140826_CM1_Level14
glx,0.0,Standard,140826_CM1_Level14
glyclt,0.0,Standard,140826_CM1_Level14
glyclt,0.0,Standard,140826_CM1_Level14
trp-L,0.0,Standard,140826_CM1_Level14
trp-L,0.0,Standard,140826_CM1_Level14
5oxpro,0.0,Standard,140826_CM1_Level14
5oxpro,0.0,Standard,140826_CM1_Level14
lac-L,0.0,Standard,140826_CM1_Level14
lac-L,0.0,Standard,140826_CM1_Level14
urate,4e-05,Standard,140826_CM1_Level14
urate,4e-05,Standard,140826_CM1_Level14
gthrd,0.01,Standard,140826_CM1_Level14
gthrd,0.01,Standard,140826_CM1_Level14
nad,0.0,Standard,140826_CM1_Level14
nad,0.0,Standard,140826_CM1_Level14
pyr,0.0,Standard,140826_CM1_Level14
pyr,0.0,Standard,140826_CM1_Level14
f6p,0.0,Standard,140826_CM1_Level14
f6p,0.0,Standard,140826_CM1_Level14
g3p,0.0,Standard,140826_CM1_Level14
g3p,0.0,Standard,140826_CM1_Level14
g6p,0.02,Standard,140826_CM1_Level14
g6p,0.02,Standard,140826_CM1_Level14
r5p,0.0,Standard,140826_CM1_Level14
r5p,0.0,Standard,140826_CM1_Level14
s7p,0.001,Standard,140826_CM1_Level14
s7p,0.001,Standard,140826_CM1_Level14
glyc3p,0.001,Standard,140826_CM1_Level14
glyc3p,0.001,Standard,140826_CM1_Level14
r5p,0.0,Standard,140826_CM1_Level14
r5p,0.0,Standard,140826_CM1_Level14
g1p,0.0,Standard,140826_CM1_Level14
g1p,0.0,Standard,140826_CM1_Level14
cmp,0.0,Standard,140826_CM1_Level14
cmp,0.0,Standard,140826_CM1_Level14
ru5p-D,0.0,Standard,140826_CM1_Level14
ru5p-D,0.0,Standard,140826_CM1_Level14
2obut,0.0,Standard,140826_CM1_Level14
2obut,0.0,Standard,140826_CM1_Level14
f1p,0.0002,Standard,140826_CM1_Level14
f1p,0.0002,Standard,140826_CM1_Level14
ru5p-D,0.0,Standard,140826_CM1_Level14
ru5p-D,0.0,Standard,140826_CM1_Level14
dcmp,0.0,Standard,140826_CM1_Level14
dcmp,0.0,Standard,140826_CM1_Level14
ump,0.0,Standard,140826_CM1_Level14
ump,0.0,Standard,140826_CM1_Level14
dhap,0.0,Standard,140826_CM1_Level14
dhap,0.0,Standard,140826_CM1_Level14
dump,0.0,Standard,140826_CM1_Level14
dump,0.0,Standard,140826_CM1_Level14
dimp,0.0,Standard,140826_CM1_Level14
dimp,0.0,Standard,140826_CM1_Level14
35cgmp,0.0,Standard,140826_CM1_Level14
35cgmp,0.0,Standard,140826_CM1_Level14
dgmp,0.0,Standard,140826_CM1_Level14
dgmp,0.0,Standard,140826_CM1_Level14
dtmp,0.0,Standard,140826_CM1_Level14
ribflv,0.0,Standard,140826_CM1_Level14
amp,0.0,Standard,140826_CM1_Level14
amp,0.0,Standard,140826_CM1_Level14
gmp,0.0,Standard,140826_CM1_Level14
gmp,0.0,Standard,140826_CM1_Level14
imp,0.0,Standard,140826_CM1_Level14
imp,0.0,Standard,140826_CM1_Level14
camp,0.0,Standard,140826_CM1_Level14
camp,0.0,Standard,140826_CM1_Level14
gthox,0.0,Standard,140826_CM1_Level14
gthox,0.0,Standard,140826_CM1_Level14
btn,0.0,Standard,140826_CM1_Level14
btn,0.0,Standard,140826_CM1_Level14
mmal,0.0,Standard,140826_CM1_Level14
mmal,0.0,Standard,140826_CM1_Level14
succ,0.0,Standard,140826_CM1_Level14
succ,0.0,Standard,140826_CM1_Level14
mal-L,0.0,Standard,140826_CM1_Level14
glutacon,0.0,Standard,140826_CM1_Level14
fum,0.0,Standard,140826_CM1_Level14
udpg,0.0,Standard,140826_CM1_Level14
damp,0.0,Standard,140826_CM1_Level14
damp,0.0,Standard,140826_CM1_Level14
oxa,0.0,Standard,140826_CM1_Level14
oxa,0.0,Standard,140826_CM1_Level14
actp,0.0,Standard,140826_CM1_Level14
actp,0.0,Standard,140826_CM1_Level14
akg,0.0,Standard,140826_CM1_Level14
oaa,0.0,Standard,140826_CM1_Level14
dtdpglu,0.0,Standard,140826_CM1_Level14
dtdpglu,0.0,Standard,140826_CM1_Level14
nadh,0.0004,Standard,140826_CM1_Level14
nadh,0.0004,Standard,140826_CM1_Level14
adpglc,0.0,Standard,140826_CM1_Level14
adpglc,0.0,Standard,140826_CM1_Level14
chor,0.0,Standard,140826_CM1_Level14
fol,0.0,Standard,140826_CM1_Level14
fol,0.0,Standard,140826_CM1_Level14
dgdp,0.0,Standard,140826_CM1_Level14
dgdp,0.0,Standard,140826_CM1_Level14
gdp,0.0,Standard,140826_CM1_Level14
gdp,0.0,Standard,140826_CM1_Level14
6pgc,0.0004,Standard,140826_CM1_Level14
Pool_2pg_3pg,0.001,Standard,140826_CM1_Level14
Pool_2pg_3pg,0.001,Standard,140826_CM1_Level14
dcdp,0.0,Standard,140826_CM1_Level14
dcdp,0.0,Standard,140826_CM1_Level14
adp,0.0,Standard,140826_CM1_Level14
adp,0.0,Standard,140826_CM1_Level14
2mcit,0.0,Standard,140826_CM1_Level14
2mcit,0.0,Standard,140826_CM1_Level14
udp,0.0,Standard,140826_CM1_Level14
udp,0.0,Standard,140826_CM1_Level14
acon-C,0.0,Standard,140826_CM1_Level14
acon-C,0.0,Standard,140826_CM1_Level14
nadp,0.0,Standard,140826_CM1_Level14
nadp,0.0,Standard,140826_CM1_Level14
pep,0.002,Standard,140826_CM1_Level14
pep,0.002,Standard,140826_CM1_Level14
dadp,0.0,Standard,140826_CM1_Level14
dadp,0.0,Standard,140826_CM1_Level14
cit,0.0,Standard,140826_CM1_Level14
cit,0.0,Standard,140826_CM1_Level14
icit,0.0,Standard,140826_CM1_Level14
icit,0.0,Standard,140826_CM1_Level14
fad,0.0,Standard,140826_CM1_Level14
fad,0.0,Standard,140826_CM1_Level14
fdp,0.0,Standard,140826_CM1_Level14
fdp,0.0,Standard,140826_CM1_Level14
udpglcur,0.0,Standard,140826_CM1_Level14
udpglcur,0.0,Standard,140826_CM1_Level14
dgtp,0.0,Standard,140826_CM1_Level14
ctp,0.0001,Standard,140826_CM1_Level14
ctp,0.0001,Standard,140826_CM1_Level14
dctp,0.001,Standard,140826_CM1_Level14
dctp,0.001,Standard,140826_CM1_Level14
ditp,0.002,Standard,140826_CM1_Level14
ditp,0.002,Standard,140826_CM1_Level14
dutp,0.01,Standard,140826_CM1_Level14
dutp,0.01,Standard,140826_CM1_Level14
itp,0.0002,Standard,140826_CM1_Level14
itp,0.0002,Standard,140826_CM1_Level14
utp,0.0004,Standard,140826_CM1_Level14
utp,0.0004,Standard,140826_CM1_Level14
23dpg,0.0,Standard,140826_CM1_Level14
23dpg,0.0,Standard,140826_CM1_Level14
atp,0.002,Standard,140826_CM1_Level14
atp,0.002,Standard,140826_CM1_Level14
datp,0.002,Standard,140826_CM1_Level14
datp,0.002,Standard,140826_CM1_Level14
dttp,0.0002,Standard,140826_CM1_Level14
dttp,0.0002,Standard,140826_CM1_Level14
gtp,0.002,Standard,140826_CM1_Level14
gtp,0.002,Standard,140826_CM1_Level14
prpp,0.0,Standard,140826_CM1_Level14
prpp,0.0,Standard,140826_CM1_Level14
nadph,0.0002,Standard,140826_CM1_Level14
nadph,0.0002,Standard,140826_CM1_Level14
phpyr,0.0,Standard,140826_CM1_Level14
phpyr,0.0,Standard,140826_CM1_Level14
coa,0.0,Standard,140826_CM1_Level14
accoa,0.0,Standard,140826_CM1_Level14
malcoa,0.0,Standard,140826_CM1_Level14
succoa,0.0,Standard,140826_CM1_Level14
arg-L,0.0,Standard,140826_CM1_Level13
orn,0.0,Standard,140826_CM1_Level13
his-L,0.0,Standard,140826_CM1_Level13
his-L,0.0,Standard,140826_CM1_Level13
asn-L,0.0,Standard,140826_CM1_Level13
asn-L,0.0,Standard,140826_CM1_Level13
