,OxicWtGlcDil0p25_Broth-1,OxicWtGlcDil0p25_Broth-2,OxicWtGlcDil0p25_Broth-3,OxicWtGlcDil0p25_Broth-4,OxicWtGlcDil0p25_Broth-5,OxicWtGlcDil0p25_Broth-6,OxicWtGlcDil0p33_Broth-1,OxicWtGlcDil0p33_Broth-2,OxicWtGlcDil0p33_Broth-3,OxicWtGlcDil0p33_Broth-4,OxicWtGlcDil0p33_Broth-5,OxicWtGlcDil0p33_Broth-6,OxicWtGlcDil0p46_Broth-1,OxicWtGlcDil0p46_Broth-2,OxicWtGlcDil0p46_Broth-3,OxicWtGlcDil0p46_Broth-4,OxicWtGlcDil0p46_Broth-5,OxicWtGlcDil0p46_Broth-6,OxicWtGlcDil0p59_Broth-1,OxicWtGlcDil0p59_Broth-2,OxicWtGlcDil0p59_Broth-3,OxicWtGlcDil0p59_Broth-4,OxicWtGlcDil0p59_Broth-5,OxicWtGlcDil0p59_Broth-6
gln-L,0.064551456,0.100469406,0.069518715,0.05626551,0.082955182,0.06033634,0.230575666,0.189423926,0.139790852,0.307991148,0.253130818,0.138738326,NA,0.479081713,NA,NA,0.225749756,NA,1.340774955,1.499600393,1.482731946,1.471402437,1.918021573,1.476456443
glu-L,8.934032736,11.264716725,10.376988655,8.020797911,11.743319125,11.734722595,10.714880425,13.829093605,11.508541715,11.678396955,12.287745995,12.255471875,11.391574975,10.531672905,13.387498315,11.700856465,11.350295105,16.696325455,9.989002942,10.718701192,9.637155352,10.410573142,9.581719342,9.508383828
glutacon,1.0301998,0.927337987,2.618432574,0.792601903,1.531725736,NA,NA,NA,NA,NA,NA,NA,NA,2.2354507785,1.3409546475,0.3495637655,4.5920198325,3.8683684485,0.729907767,1.12002266,2.668618406,3.830154582,2.566504805,2.52419664
glx,0.190434171,0.054538856,0.107855996,0.14499267,0.128093919,0.08943386,0.1657503165,0.1284759355,NA,0.1480711825,0.2532348805,0.0165230655,0.0761290095,0.2896086795,0.1183479065,0.00516530549999999,0.3532171125,0.0507016835,0.1262580235,0.0318226395,0.1149845465,0.2194797225,0.0798011095,0.2636693425
glyc3p,0.073592825,0.072632208,0.049153961,0.05664009,0.093470434,0.035662507,0.0568118255,0.0710558605,0.0517128555,0.0798890075,0.0842925695,0.0505988625,0.0635201595,0.1539371875,0.0778840495,0.0467548645,0.1720568615,0.0803000195,0.0919909555,0.0682989555,0.1119579025,0.1008125445,0.1035549545,0.1231393195
glyclt,0.232323118,0.2044407,0.129115625,0.165205559,0.213922159,0.120429227,0.122947718,0.145710233,0.015453523,0.124604266,0.23391523,0.016138326,0.069694004,0.237310794,0.104542648,0.058115335,0.260147186,0.098231211,0.0858663575,0.0540436355,0.1323422355,0.1251018135,0.0614608685,0.1753008545
gthox,0.338161267,0.571382612,0.497691958,0.290858683,0.513260539,0.527828925,0.441272682,0.463577779,0.644036032,0.555946243,0.486312798,0.758569815,0.394706796,0.358430342,0.58544494,0.507978741,0.353405822,0.471717577,0.232159188,0.272018089,0.257210352,0.282858501,0.288525058,0.342688072
gthrd,2.346607317,3.121102693,2.885942438,2.457398519,3.28634079,2.716946447,2.701803063,2.975690215,3.033865159,2.668819427,3.187052799,3.506744792,3.060148316,2.804608813,2.931287749,4.426753602,2.623976528,3.10433928,4.056429037,2.877180438,2.873500002,5.160678747,3.361127627,2.434675895
gtp,NA,0.116505063,0.16519727,NA,NA,0.140800654,0.082298243,0.080186525,0.107342894,NA,0.074077926,0.106163218,0.163929307,0.152795913,NA,0.136139846,0.186092509,0.190262545,0.151856019,0.249166584,0.156360603,0.151218477,0.247306555,0.123275115
icit,0.020419662,0.016205926,0.01767338,0.010792315,0.007713907,0.010404024,0.013909727,0.02027961,0.007360991,0.009545628,0.015058465,0.009179848,0.00794535,0.009780447,0.009501078,0.012761486,0.012708818,0.008534972,0.010138003,0.007214669,0.009002801,0.011513726,0.008302017,0.012541713
imp,NA,0.015681274,0.01543367,NA,NA,0.012448139,0.014214461,0.011055588,0.012981917,0.019972869,0.009588055,0.013952123,0.014299293,0.008086778,0.01759988,0.013366759,0.01870228,0.014942206,0.016257404,0.014800691,0.016277175,0.024251672,0.021638556,0.016851966
mal-L,0.76671871,1.003952649,0.841438077,1.364853879,1.285191874,1.082651362,1.106308978,1.385725481,1.226127671,1.339803851,1.336488463,0.161028056,1.1835534855,3.2149651735,1.2097778715,1.2329253155,1.2333328865,0.9684281625,1.0878792395,0.8553339785,1.1950234705,0.9227478995,0.9232151375,1.0765207455
met-L,0.004604505,0.009156718,0.005989885,0.001812489,0.007629531,0.008300858,0.02499878,0.008987789,0.008670117,0.030524255,0.022870385,0.008435032,0.015708468,0.018764398,0.019818179,0.019826909,0.019086538,0.020020421,0.016824199,0.018769119,0.019210316,0.015989745,0.01736554,0.017453004
mmal,0.043324217,0.049170481,0.028526554,0.038959189,0.05024145,0.024076965,0.0080167765,0.0075316565,0.0039712775,0.0071939925,0.0117439425,0.0045893565,0.003037472,0.008348528,0.004534874,0.004753981,0.010576122,0.003512775,0.003527666,0.003058117,0.004404068,0.002459791,0.002880506,0.003712368
nad,0.104447548,0.306115106,0.311837475,0.114749286,0.375579816,0.315787818,0.4260663585,0.3147800785,0.3983324555,0.4238055605,0.3646319325,0.4108710205,0.421085802,0.43166656,0.455677484,0.421884476,0.421612182,0.565715803,0.4459180925,0.4145307475,0.4011712435,0.4343702495,0.3937631275,0.3824828855
nadh,0.008713867,0.017407813,0.007415106,0.0102854,0.014190605,0.010308342,0.00509919,0.006264468,0.006418117,0.005673789,0.006324521,0.008332823,0.006145738,0.007895147,0.005117973,0.004356355,0.008975929,0.006397324,0.007869768,0.00402796,0.005496953,0.005353559,0.005806067,0.00527866
nadp,0.005455821,0.047872909,0.029961362,0.006213045,0.047135027,0.033795394,0.0464122045,0.0552857845,0.0575715075,0.0488458555,0.0457487665,0.0638150895,0.056378783,0.091193729,0.055916991,0.05175015,0.081731445,0.062353907,0.0513822175,0.0495921625,0.0786045725,0.0341554375,0.0549496315,0.0836261095
nadph,0.000311025,0.00057735,0.000542047,0.000284967,0.000524962,0.000504689,0.001697277,0.002707389,0.001881694,0.001462006,0.002099655,0.001496508,0.002656329,0.002412124,0.001607857,0.001528432,0.002388404,0.003437809,0.003269086,0.002433992,0.001931389,0.002390683,0.001907182,0.003139659
pep,0.048034288,0.052876959,0.047809739,0.043037834,0.051724414,0.052714226,0.027523735,0.038267593,0.028748545,0.033164907,0.039878833,0.036190395,0.028894397,0.031763988,0.037853787,0.030149209,0.030031322,0.032493173,0.0328241625,0.0308069575,0.0298253085,0.0402862885,0.0363271815,0.0293872975
