,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
glu-L.glu-L_1.Light,0.204371942265335,0.217662042994728,0,0.29111483956887,0.209811798255323,0.00539379901595856,0.0247839877167237,0,-0.0203160302702983,0.00873993740394446,0.999484710413179,0.985896175048228,0,0.998250628103947,0.999932572683504,0.008,0.08,0,0.08,0.008,4.0,4.0,0,20.0,8.0,9,6,0,8,10
dcmp.dcmp_1.Light,7.01189383239961,7.50261115872681,6.37862665692897,8.1431370725365,6.89266763003386,0.0217638878528343,-0.00308454783758686,0.0151474769790048,-0.00305210338055633,0.00560936817445234,0.999758099111081,0.998780416812365,0.998869376376321,0.986277354045055,0.999926424542765,0.004,0.0016,0.004,0.004,0.008,4.0,0.16,1.6,0.4,4.0,10,7,9,7,9
gua.gua_1.Light,14.3076043272077,10.8560103447488,11.8879462621621,12.6623700975964,12.12826633279,0.123565506488464,0.0267430180403643,0.0219962533391923,0.116511149457541,0.131860857623661,0.99962150863909,0.998863915740909,0.99913690304253,0.993990071855466,0.999146432236387,0.02,0.008,0.008,0.02,0.02,2.0,0.8,4.0,2.0,4.0,7,7,9,7,8
glu-L.glu-L_2.Light,0.282632777578552,0,0,0,0.286623223465933,0.00365286548576274,0,0,0,0.00518981259389339,0.999896318246493,0,0,0,0.999927792228522,0.008,0,0,0,0.008,8.0,0,0,0,8.0,10,0,0,0,10
citr-L.citr-L_1.Light,3.96968530421687,4.50731299507131,4.7536673963392,4.78463142376129,4.52242523324584,0.0825922043464379,0.0227361141159247,0.00619077848573841,0.0157849933772787,-0.206719901468844,0.999905867007517,0.990284372226115,0.997827428193399,0.998408026793211,0.999209655763505,0.04,0.04,0.008,0.008,0.04,20.0,0.8,0.8,2.0,8.0,9,5,7,8,8
cit.cit_1.Light,20.3444845852811,0,0,0,17.7797499920303,-4.43655051043528,0,0,0,-5.36658677369209,0.999152240163971,0,0,0,0.991674991824745,0.2,0,0,0,0.2,8.0,0,0,0,8.0,4,0,0,0,5
6pgc.6pgc_1.Light,0.223404276651064,0.172579727205882,0.120094919862605,0.196873511952238,0.184894839395428,-0.0297926033012956,-0.000633496349539832,0.00429320168250713,0.000395733083589004,-0.0451149412139068,0.998629078262551,0.999678200918277,0.990202667989821,0.991811157640958,0.997889384145605,0.16,0.016,0.008,0.016,0.16,8.0,4.0,1.6,1.6,8.0,6,6,7,7,6
gmp.gmp_1.Light,0.332473976029244,3.73209132217649,3.52179644962394,3.85084245982523,0.525115449097181,0.106300763190487,-0.00555775953778695,-0.0093719256753534,-0.00926575652225906,-0.194432872322557,0.998751459249463,0.994691295247138,0.995155333335377,0.999507717135534,0.995492235357828,0.2,0.008,0.008,0.02,0.4,8.0,0.8,0.8,2.0,8.0,6,7,7,7,5
ser-L.ser-L_2.Light,0.0586807251319922,0,0,0,0.0603746610239257,0.00451774250921518,0,0,0,0.0248997143973834,0.988713032145946,0,0,0,0.998440944189187,0.1,0,0,0,0.1,40.0,0,0,0,40.0,9,0,0,0,9
cytd.cytd_1.Light,2.01660109361212,3.04616009430934,2.594876049209,4.29156738334986,2.22216242326527,0.00219561362042568,-0.000392231308945755,0.000433105660245876,-0.0206349679912533,-0.0115133198199549,0.997867130292121,0.999891471814582,0.999192411590322,0.992227137591168,0.999797979811041,0.001,0.002,0.002,0.002,0.001,1.0,0.05,5.0,2.0,10.0,10,5,11,9,13
Pool_2pg_3pg.Pool_2pg_3pg_1.Light,0.241570470601783,0.300675370575498,0.288758712899679,0.240112462275933,0.174429187052013,0.0832041422969622,0.000623411184888263,0.00872701654894214,0.0143379301681695,0.42277948371835,0.999685236706306,0.999634343091505,0.999545468571329,0.998179426386723,0.996580179165144,0.1,0.02,0.02,0.04,1.0,10.0,2.0,2.0,4.0,20.0,6,7,7,6,5
coa.coa_1.Light,0.720774702308757,0.711204385657658,0.514789574187751,0.651701758937607,0.658096739670196,0.0460939814672085,3.54248072136591e-05,0.0503498136308343,0.0342053409132998,0.0327238701787972,0.999419686027809,0.999771129811781,0.9999017891149,0.999931814592507,0.999787734849329,0.02,0.02,0.1,0.1,0.02,5.0,5.0,2.0,10.0,10.0,8,8,5,4,9
ru5p-D.ru5p-D_1.Light,11.5509348707586,18.3834598425348,23.0596269972249,10.7755534297888,11.1430767724968,-0.0334133192729224,-0.00359499469793692,-0.149734910382944,0.111665181201624,-0.00538422748512771,0.997633264123404,0.999057750892403,0.998342509093809,0.999768098626923,0.999883711905759,0.008,0.008,0.016,0.032,0.0032,1.6,3.2,1.6,8.0,8.0,8,7,4,8,11
