,OxicRph-pyrE82_Broth-2,OxicRph-pyrE82_Broth-3,OxicRph-pyrE82_Broth-5,OxicRph-pyrE82_Broth-6,OxicRpoBE546V_Broth-1,OxicRpoBE546V_Broth-2,OxicRpoBE546V_Broth-3,OxicRpoBE546V_Broth-4,OxicRpoBE546V_Broth-5,OxicRpoBE546V_Broth-6,OxicRpoBE672K-rph-pyrE82_Broth-1,OxicRpoBE672K-rph-pyrE82_Broth-3,OxicRpoBE672K-rph-pyrE82_Broth-4,OxicRpoBE672K-rph-pyrE82_Broth-6,OxicRpoBE672K_Broth-1,OxicRpoBE672K_Broth-2,OxicRpoBE672K_Broth-3,OxicRpoBE672K_Broth-4,OxicRpoBE672K_Broth-5,OxicRpoBE672K_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
damp,0.000990381000000017,0.00188892399999997,0.00106089099999998,0.00140612900000002,0.001091949,0.00235500899999997,0.00170534600000004,0.00126938099999998,0.00154039100000002,0.00181101900000002,0.000982959999999984,0.00184355300000004,0.00110161499999998,0.00121038,0.00190067499999996,0.00135401000000001,0.00173148099999998,0.00135932599999999,0.00100886200000003,0.00163215099999998,0.000867542000000022,0.000528689999999999,0.00483411899999993,0.00195277700000003,0.00147339799999998,0.00459043
datp,0.0301540920000001,0.0274006030000002,0.0275615530000007,0.0308425690000005,0.0330661769999994,0.0263133780000002,0.0317794649999997,0.0314976629999997,0.0261206660000004,0.0312381709999992,0.0255039669999997,0.0314542419999995,0.0229066379999997,0.0293005909999993,0.0295624620000005,0.0340573149999991,0.0310414299999993,0.0282093209999995,0.0324909310000007,0.0309137919999998,0.0271359519999993,0.0381850690000006,0.018330214,0.0285832170000005,0.0316704150000005,0.0155933150000002
dcdp,0.0178379549999998,0.0188777760000001,0.0130636279999998,0.0236675579999997,0.00751387000000014,0.011011523,0.000924342999999995,0.0109064720000001,0.0149485659999997,0.00268868800000006,0.0104117129999999,0.00925024300000017,0.010169121,0.011823347,0.007690223,0.00600948299999994,0.00686330699999991,0.013417424,0.00823854099999994,0.00521661599999997,0.0027926345,0.00301087450000003,0.0163128024999999,0.00406483150000003,0.00247698150000004,0.0169745655
dcmp,0.001155303,0.000937454999999983,0.00180738699999998,0.00209093300000002,0.000404307742653158,0.00068321785921924,0.002023793,0.000588672359432277,0.000668520313101898,0.00141055799999997,0.00243097699999996,0.00609863000000009,0.00245277500000004,0.00175662399999999,0.00188563099999999,0.00125461599999999,0.00209070899999998,0.00138014700000003,0.00211578600000002,0.00407384699999993,0.00135846899999998,0.000781519999999987,0.00196053399999997,0.00106071200000001,0.000393295000000002,0.000891905000000018
dctp,0.0242960970000003,0.0234290369999997,0.023260841,0.0276294399999994,0.0252075850000004,0.0207343439999999,0.0266931369999996,0.0201688400000002,0.019190422,0.0274900970000003,0.0208170159999998,0.0443124190000005,0.0249426929999999,0.038304676,0.0260982650000006,0.0320958679999996,0.0253362800000003,0.0265319439999995,0.0287081650000004,0.0248865450000002,0.0201313250000001,0.0251963940000006,0.0131365799999998,0.0178648080000001,0.0283548220000005,0.0136317960000002
dhap,0.0010580667005248,0.00113409544547269,0.0010580667005248,0.00113409544547269,0.934982873428136,0.331572669704888,0.332337494000001,0.265319067000002,0.270902148859138,0.263761652999996,0.170283791000002,0.262527551999996,0.278517808999995,0.256952261999999,0.237424202999996,0.298838592000001,0.290868184,0.268703318999997,0.302648997999996,0.293703983,0.294102568000003,0.190406717000001,0.218083997999998,0.290629573999999,0.187409349000004,0.180718436000004
ditp,0.00841799699999982,0.0146549982449949,0.00830482399999986,0.0162132229999998,0.000464420500000006,0.00170669058558176,0.00562347249999995,0.00191530250000003,0.00211376349999998,0.00532628549999989,0.00169872408209331,0.00679021100000015,0.00369669110792091,0.00392421899999996,0.0011866845,0.000921561500000001,0.00159293602516125,0.00163082785370045,0.000673471026943819,0.00204167549999995,0.00769324549999984,0.00273146749999999,0.0051591600301914,0.00822142250000009,0.00574181850000001,0.00511218056541109
dtmp,0.0114991520000001,0.0106076070000001,0.0106257379999999,0.0123504800000002,0.00761771200000004,0.0103854170000001,0.00820022300000004,0.00942321499999999,0.0112042880000001,0.008775172,0.00664209899999984,0.00713995100000007,0.00727479100000015,0.00775411199999993,0.0079472430000001,0.00756928900000008,0.00769032500000021,0.00800646999999993,0.00735432899999999,0.00821620099999992,0.0107662899999999,0.0131400910000002,0.0154617849999998,0.0129316480000002,0.0121205950000002,0.0163903390000004
dttp,0.0364970100000003,0.0303601049999998,0.0314361669999996,0.0343533960000002,0.0195756399999996,0.017912074,0.0246567730000002,0.0227569930000003,0.0190107939999998,0.024809801,0.0251700039999996,0.038891034,0.0252126540000004,0.0337840440000006,0.0208497289999996,0.0311282159999997,0.0267885300000002,0.0163864690000003,0.0268486219999995,0.0283746170000005,0.0312515104999996,0.0436223605000003,0.0221097245000004,0.0408405445,0.0380309224999996,0.0241999994999997
dump,0.00215214199999996,0.00295277800000004,0.00221041999999997,0.00273478899999995,0.00867075399999995,0.00866900399999987,0.00555505399999999,0.00908883199999992,0.00848753400000015,0.00679160299999994,0.0106106389999999,0.0086725579999999,0.013801741,0.00914962099999998,0.012013992,0.0116421590000003,0.011029894,0.0116200109999999,0.0156363979999999,0.011655217,0.00276012600000005,0.00177511500000003,0.00344907900000003,0.00242429499999997,0.00271145599999999,0.00293724299999998
