id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_
16732,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,r5p,r5p.r5p_1.Light,0.034608931,mM,t,
16734,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,utp,utp.utp_1.Light,0.231833919,mM,t,
16735,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,23dpg,23dpg.23dpg_1.Light,0.031222205,mM,t,
16736,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,5oxpro,5oxpro.5oxpro_1.Light,0.058049287,mM,t,
16737,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,6pgc,6pgc.6pgc_1.Light,0.135737337,mM,t,
16738,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,accoa,accoa.accoa_1.Light,1.060620333,mM,t,
16739,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,ade,ade.ade_1.Light,0.010189394,mM,t,
16740,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,adp,adp.adp_1.Light,0.119330596,mM,t,
16741,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,adpglc,adpglc.adpglc_1.Light,0.001206256,mM,t,
16742,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,akg,akg.akg_1.Light,0.061299567,mM,t,
16743,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,amp,amp.amp_1.Light,0.045209036,mM,t,
16744,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,arg-L,arg-L.arg-L_1.Light,0.490963779,mM,t,
16745,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,asn-L,asn-L.asn-L_1.Light,0.230493475,mM,t,
16746,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,camp,camp.camp_1.Light,0.005380937,mM,t,
16725,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,glx,glx.glx_1.Light,1.99876533,mM,f,High % extracellular
16812,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-2,glx,glx.glx_1.Light,1.380696542,mM,f,High % extracellular
16899,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-3-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-3,glx,glx.glx_1.Light,1.662782629,mM,f,High % extracellular
16747,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,cit,cit.cit_2.Light,0.667330942,mM,t,
16748,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,citr-L,citr-L.citr-L_1.Light,0.029977821,mM,t,
