experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_ub_base,dG_r_lb,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible
ALEWt01,iJO1366,OxicEvo04Glc,0,NADTRHD,kJ/mol,-3.028658469,-2.126982463,-1.632760171,-1.545319396,0.308960497,0.530890474,0.438294802,0.549201871,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,IPPS,kJ/mol,-39.35062845,-39.20910716,-39.54395063,-39.47767166,2.36E-07,2.19E-07,2.49E-07,2.24E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,H2Otpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PGMT,kJ/mol,-1.226838483,-0.807745317,-0.245680345,-0.127461696,0.621400582,0.909120967,0.731066298,0.951770991,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PIt2rpp,kJ/mol,3015.98598,3015.98598,3015.98598,3015.98598,3.669488396,3.669488396,3.669488396,3.669488396,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PPKr,kJ/mol,-26.4498004,-26.40846024,-26.05898824,-25.51657029,3.51E-05,4.08E-05,3.57E-05,5.04E-05,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,NDPK1,kJ/mol,-14.6850727,-14.51872015,-15.09897581,-14.81564063,0.003362712,0.002864038,0.003586802,0.003196679,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,SUCFUMtpp,kJ/mol,13825.23532,13825.30977,13824.51504,13824.98459,0.215322263,0.1628461,0.221629604,0.195370594,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,NH4tex,kJ/mol,-3457.298763,-3457.298763,-3457.298763,-3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,AGPR,kJ/mol,45.06176151,45.57297352,43.98098519,44.46112038,38855848.8,25552202.83,47375791.57,30781824.78,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,FUMtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,ASAD,kJ/mol,-17.20953124,-16.69831924,-18.29030757,-17.81017237,0.001263315,0.000830775,0.001540323,0.001000806,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,DDPA,kJ/mol,-138.2230554,-137.8634595,-138.8038677,-138.3228681,3.90E-24,3.26E-24,8.13E-24,6.49E-24,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,ACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,GMPS2,kJ/mol,-171.6858929,-171.5767383,-169.7287533,-169.011444,1.74E-32,3.73E-32,8.81E-27,2.38E-26,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,D_DASH_LACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,FE2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,UMPK,kJ/mol,8.808717619,9.25275351,10.40347036,11.04446836,30.45050001,56.51817805,36.17266246,72.46816011,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,FE3tex,kJ/mol,-10371.89629,-10371.89629,-10371.89629,-10371.89629,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,AMPN,kJ/mol,-61.06329017,-58.91583318,-63.27382066,-61.59449276,5.19E-11,2.20E-11,1.19E-10,4.23E-11,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,NTD7,kJ/mol,-47.36081634,-43.88603966,-42.78203369,-41.41402,1.06E-08,6.23E-08,4.06E-08,1.06E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,DHFS,kJ/mol,357.5904377,358.2548742,358.5471452,358.8217259,3.64E+41,4.53E+41,4.35E+41,6.31E+41,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,ADK3,kJ/mol,8.765828054,9.288556549,9.638989776,9.952641281,29.94820662,42.01764546,36.67841384,47.45237722,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PDE1,kJ/mol,-49.99968769,-49.95229549,-48.3874387,-47.37393209,3.79E-09,7.09E-09,3.86E-09,1.05E-08,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,CYTK2,kJ/mol,12.45032252,12.52239839,13.75048092,13.78479786,125.0046054,206.9679747,128.5479866,209.7408031,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,KDOPS,kJ/mol,8.565430098,8.92502593,7.984617768,8.465617364,20.56844138,17.21179708,42.91421764,34.25932445,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,H2tpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,SO4tex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,MG2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,ACCOAL,kJ/mol,14.41042476,14.74390366,15.0278545,16.38529121,267.3333584,339.6587353,304.2417532,574.9987945,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,GLCP,kJ/mol,805.4518687,806.6270704,803.8836647,805.4167538,2.02E+44,1.10E+44,1.43E+47,8.94E+46,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,MNtex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PItex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,DADK,kJ/mol,43.41646497,44.07359776,44.14637401,45.10830097,20528154.86,27244804.6,26486615.84,39563502.72,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,FORtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,FBP,kJ/mol,-40.17468292,-39.90342221,-39.42980362,-39.07921813,1.71E-07,2.29E-07,1.90E-07,2.62E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,SUCCtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,SADT2,kJ/mol,-4.109283317,-3.458515696,-2.202229154,-1.654262777,0.203189103,0.425689574,0.261520011,0.526481833,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PGM,kJ/mol,-4.129953475,-4.129953475,-4.129953475,-4.129953475,0.201566833,0.201566833,0.201566833,0.201566833,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PGK,kJ/mol,2.52500507,2.741067817,2.44716801,2.501657907,2.662379819,2.583214252,2.895076483,2.638382778,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PGI,kJ/mol,-2.592020262,-2.182057338,-2.021042546,-1.849743012,0.365967955,0.456676942,0.429032726,0.48804508,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PHETA1,kJ/mol,16.24614793,16.87970767,13.93395752,14.05846056,544.7935348,222.2311365,696.52747,233.2244822,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,RPI,kJ/mol,-0.068006505,0.04569869,1.16808742,1.339409583,0.973971191,1.573016539,1.017880349,1.68107835,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,GK1,kJ/mol,8.057370864,8.113223615,9.274359767,9.914557447,22.7535954,36.47703045,23.25181951,46.75669057,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo08Glc,0,CYTDK2,kJ/mol,-541.795019,-540.6435288,-540.3600312,-538.9413971,8.38E-47,1.46E-46,5.88E-44,1.14E-43,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,H2Otpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PGMT,kJ/mol,-1.226838483,-0.807745317,0.379964015,0.459889908,0.621400582,1.158763595,0.731066298,1.195243073,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PIt2rpp,kJ/mol,3015.98598,3015.98598,3015.98598,3015.98598,3.669488396,3.669488396,3.669488396,3.669488396,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,PPKr,kJ/mol,-26.4498004,-26.40846024,-25.94542811,-25.52120325,3.51E-05,4.27E-05,3.57E-05,5.03E-05,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,NDPK1,kJ/mol,-14.6850727,-14.51872015,-15.58856698,-15.16304093,0.003362712,0.002368755,0.003586802,0.002793757,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,NDPK7,kJ/mol,137.0777304,137.5016631,136.047413,136.8746006,1.22E+23,8.20E+22,1.44E+23,1.13E+23,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,SUCFUMtpp,kJ/mol,13825.23532,13825.30977,13824.29376,13824.46425,0.215322263,0.149454129,0.221629604,0.159669932,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,MALS,kJ/mol,-57.23934115,-55.7095463,-54.18831826,-51.52244226,2.29E-10,7.47E-10,4.14E-10,2.10E-09,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,NH4tex,kJ/mol,-3457.298763,-3457.298763,-3457.298763,-3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo08Glc,0,FUMtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,DDPA,kJ/mol,-138.2230554,-137.8634595,-139.2335377,-138.5329734,3.90E-24,3.00E-24,8.13E-24,5.49E-24,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,ACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,GMPS2,kJ/mol,-171.6858929,-171.5767383,-170.0326784,-169.3123483,1.74E-32,3.31E-32,8.81E-27,2.12E-26,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,D_DASH_LACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,NADPPPS,kJ/mol,-33.86849986,-33.53130617,-33.36280827,-33.24663984,1.98E-06,2.40E-06,2.25E-06,2.51E-06,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,FE2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo09Glc,0,UMPK,kJ/mol,8.808717619,9.25275351,9.946885146,10.45094841,30.45050001,47.34656827,36.17266246,57.56845435,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo09Glc,0,FE3tex,kJ/mol,-10371.89629,-10371.89629,-10371.89629,-10371.89629,1,1,1,1,TRUE,TRUE
