"id","mapping_id","rxn_id","rxn_description","reactants_stoichiometry_tracked","products_stoichiometry_tracked","reactants_ids_tracked","products_ids_tracked","reactants_mapping","products_mapping","rxn_equation","used_","comment_","reactants_elements_tracked","products_elements_tracked","reactants_positions_tracked","products_positions_tracked"
31,"central02","ALATA_L","","{-1,-1}","{1,1}","{akg_c,ala_DASH_L_c}","{glu_DASH_L_c,pyr_c}","{abcde,fgh}","{abcde,fgh}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[[0, 1, 2, 3, 4], [0, 1, 2]]"
32,"central02","ALATA_L_reverse","","{-1,-1}","{1,1}","{glu_DASH_L_c,pyr_c}","{akg_c,ala_DASH_L_c}","{abcde,fgh}","{abcde,fgh}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[[0, 1, 2, 3, 4], [0, 1, 2]]"
33,"central02","ALDD2x","","{-1}","{1}","{acald_c}","{ac_c}","{ab}","{ab}","",t,"","[[""C"", ""C""]]","[[""C"", ""C""]]","[[0, 1]]","[[0, 1]]"
34,"central02","ARGSL","","{-1}","{1,0.5,0.5}","{argsuc_c}","{arg_DASH_L_c,fum_c,fum_c}","{abcdefghij}","{abcdef,jghi,ihgj}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3], [0, 1, 2, 3]]"
35,"central02","ARGSL_reverse","","{-1,-0.5,-0.5}","{1}","{arg_DASH_L_c,fum_c,fum_c}","{argsuc_c}","{abcdef,jghi,ihgj}","{abcdefghij}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3], [0, 1, 2, 3]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
584,"central02","NTD2","","{}","{}","{}","{}","{""""}","{""""}","",t,"","[]","[]","[]","[]"
36,"central02","ARGSS","","{-1,-1}","{1}","{asp_DASH_L_c,citr_DASH_L_c}","{argsuc_c}","{abcd,efghij}","{efghijbcda}","",t,"","[[""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
37,"central02","ASAD","","{-1}","{1}","{aspsa_c}","{4pasp_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
38,"central02","ASAD_reverse","","{-1}","{1}","{4pasp_c}","{aspsa_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
39,"central02","ASNN","","{-1}","{1}","{asn_DASH_L_c}","{asp_DASH_L_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
40,"central02","ASNS1","","{-1,-1}","{1,1}","{asp_DASH_L_c,gln_DASH_L_c}","{asn_DASH_L_c,glu_DASH_L_c}","{abcd,efghi}","{abcd,efghi}","",t,"","[[""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]","[[0, 1, 2, 3], [0, 1, 2, 3, 4]]"
41,"central02","ASNS2","","{-1}","{1}","{asp_DASH_L_c}","{asn_DASH_L_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
42,"central02","ASPK","","{-1}","{1}","{asp_DASH_L_c}","{4pasp_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
43,"central02","ASPK_reverse","","{-1}","{1}","{4pasp_c}","{asp_DASH_L_c}","{abcd}","{abcd}","",t,"","[[""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3]]","[[0, 1, 2, 3]]"
44,"central02","ASPTA","","{-1,-1}","{1,1}","{akg_c,asp_DASH_L_c}","{glu_DASH_L_c,oaa_c}","{abcde,fghi}","{abcde,fghi}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]"
45,"central02","ASPTA_reverse","","{-1,-1}","{1,1}","{glu_DASH_L_c,oaa_c}","{akg_c,asp_DASH_L_c}","{abcde,fghi}","{abcde,fghi}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]","[[0, 1, 2, 3, 4], [0, 1, 2, 3]]"
46,"central02","ATPS4rpp","","{-1}","{1}","{adp_c}","{atp_c}","{abcdefghij}","{abcdefghij}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
47,"central02","ATPS4rpp_Full","","{-1}","{1}","{adp_c}","{atp_c}","{abcdefghij}","{abcdefghij}","",f,"","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
48,"central02","CBPS","","{-1,-1}","{1,1}","{gln_DASH_L_c,hco3_c}","{cbp_c,glu_DASH_L_c}","{abcde,f}","{f,abcde}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C""], [""C""]]","[[""C""], [""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4], [0]]","[[0], [0, 1, 2, 3, 4]]"
49,"central02","CHORM","","{-1}","{1}","{chor_c}","{pphn_c}","{abcdefghij}","{ihjbcdefga}","",t,"","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
51,"central02","CO2tex","","{-1}","{1}","{co2_e}","{co2_p}","{a}","{a}","",t,"","[[""C""]]","[[""C""]]","[[0]]","[[0]]"
52,"central02","CO2tpp","","{-1}","{1}","{co2_p}","{co2_c}","{a}","{a}","",t,"","[[""C""]]","[[""C""]]","[[0]]","[[0]]"
53,"central02","CO2tex_reverse","","{-1}","{1}","{co2_p}","{co2_e}","{a}","{a}","",t,"","[[""C""]]","[[""C""]]","[[0]]","[[0]]"
54,"central02","CO2tpp_reverse","","{-1}","{1}","{co2_c}","{co2_p}","{a}","{a}","",t,"","[[""C""]]","[[""C""]]","[[0]]","[[0]]"
