sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,glu-L,C4H8NO2-,"[True, True, True, True, False]",EPI,1,0.049,0.005,0,0,,,,,,,,,,1,0.102,0.012,0.007,0,,,,,,,,,,0,14.282,45.02,31.501,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glu-L,C3H6NO2-,"[True, True, True, False, False]",EPI,1,0.038,0.005,0,,,,,,,,,,,0.854,1,0,0,,,,,,,,,,,38.258,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glyc3p,C3H8O6P-,"[True, True, True]",EPI,1,0.036,0.013,0,,,,,,,,,,,1,0.063,0.016,0,,,,,,,,,,,0,48.144,45.093,0,,,,,,,,,,,0,-0.028,-0.003,0,,,,,,,,,,
OxicWtGlc,0,glyc3p,C3H4O2P,"[True, True, True]",EPI,1,0.034,0.005,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glyclt,C2H3O3-,"[True, True]",EPI,1,0.023,0.006,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0.023,0.006,,,,,,,,,,,
OxicWtGlc,0,glyclt,CHO2-,"[True, False]",EPI,1,0.012,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glyclt,CH3O2-,"[True, False]",EPI,1,0.012,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,gtp,C10H15N5O14P3-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.134,0.037,0.004,0.001,0,0,0,0,0,,,,,1,0.166,0,0,0,0,0,0,0,0,0,,,,0,3.276,0,0,0,0,0,0,0,0,0,,,,0,-0.032,0.037,0.004,0.001,0,0,0,0,0,,,,
OxicWtGlc,0,gtp,C5H4N5O-,"[False, False, False, False, False, True, True, True, True, True]",EPI,1,0.073,0.004,0,0,0,,,,,,,,,1,0.133,0,0,0,0,,,,,,,,,0,34.217,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,gtp,C10H14N5O11P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.031,0.003,0,0,0,0,0,0,,,,,1,0.162,0,0,0,0,0,0,0,0,0,,,,0,3.719,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
