mapping_id,rxn_id,rxn_description,used_,reactants_elements_tracked,products_elements_tracked,comments_,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
central02,DAPE,,TRUE,C,C,individual,1*26dap_DASH_LL_c,abcdefg,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba
central02,DAPE_reverse,,TRUE,C,C,individual,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba,1*26dap_DASH_LL_c,abcdefg
central02,DHAD1,,TRUE,C,C,individual,1*23dhmb_c,abcde,1*3mob_c,abcde
central02,DHAPT,,TRUE,C,C,individual,0.5*dha_c+0.5*dha_c+1*pep_c,abc+cba+def,1*dhap_c+1*pyr_c,abc+def
central02,DHQTi,,TRUE,C,C,individual,1*3dhq_c,abcdefg,1*3dhsk_c,abcdefg
central02,DHQTi_reverse,,TRUE,C,C,individual,1*3dhsk_c,abcdefg,1*3dhq_c,abcdefg
central02,D_DASH_LACt2pp,,TRUE,C,C,individual,1*lac_DASH_D_p,abc,1*lac_DASH_D_c,abc
central02,D_DASH_LACtex,,TRUE,C,C,individual,1*lac_DASH_D_e,abc,1*lac_DASH_D_p,abc
central02,D_DASH_LACt2pp_reverse,,TRUE,C,C,individual,1*lac_DASH_D_c,abc,1*lac_DASH_D_p,abc
central02,D_DASH_LACtex_reverse,,TRUE,C,C,individual,1*lac_DASH_D_p,abc,1*lac_DASH_D_e,abc
central02,dtmp_to_dttp,"[DTMPK,NDPK4]",TRUE,C,C,combo; cannot be lumped,1*dtmp_c,abcdefghij,1*dttp_c,abcdefghij
central02,DTMPK,,TRUE,C,C,added dtmp_to_dttp,,,,
central02,DTMPK_Full,,FALSE,C,C,added dtmp_to_dttp,1*dtmp_c,abcdefghij,1*dtdp_c,abcdefghij
central02,NDPK4,,TRUE,C,C,added dtmp_to_dttp,,,,
central02,NDPK4_Full,,FALSE,C,C,added dtmp_to_dttp,1*dtdp_c,abcdefghij,1*dttp_c,abcdefghij
central02,TMDS,,TRUE,C,C,combo,,,,
central02,TMDS_Full,,FALSE,C,C,combo,1*dump_c+1*mlthf_c,abcdefghi+j,1*dtmp_c,abcdefghij
central02,udp_to_dump_aerobic,"['RNDR4','NDPK6','DUTPDP']",TRUE,C,C,combo,,,,
central02,udp_to_dump_aerobic_Full,"['RNDR4','NDPK6','DUTPDP']",FALSE,C,C,combo,1*udp_c,abcdefghi,1*dump_c,abcdefghi
central02,utp_to_dump_anaerobic,"['RNTR4c2','DUTPDP']",TRUE,C,C,combo,,,,
central02,utp_to_dump_anaerobic_Full,"['RNTR4c2','DUTPDP']",FALSE,C,C,combo,1*utp_c,abcdefghi,1*dump_c,abcdefghi
central02,EDA,,TRUE,C,C,individual,1*2ddg6p_c,abcdef,1*g3p_c+1*pyr_c,def+abc
central02,EDD,,TRUE,C,C,individual,1*6pgc_c,abcdef,1*2ddg6p_c,abcdef
central02,ENO,,TRUE,C,C,individual,1*2pg_c,abc,1*pep_c,abc
central02,ENO_reverse,,TRUE,C,C,individual,1*pep_c,abc,1*2pg_c,abc
central02,ETOHtex,,TRUE,C,C,individual,1*etoh_e,ab,1*etoh_p,ab
central02,ETOHtrpp,,TRUE,C,C,individual,1*etoh_p,ab,1*etoh_c,ab
central02,ETOHtex_reverse,,TRUE,C,C,individual,1*etoh_p,ab,1*etoh_e,ab
central02,ETOHtrpp_reverse,,TRUE,C,C,individual,1*etoh_c,ab,1*etoh_p,ab
central02,EX_ac_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*ac_e,ab,,
central02,EX_co2_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*co2_e,a,,
central02,EX_etoh_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*etoh_e,ab,,
central02,EX_for_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*for_e,a,,
central02,EX_fum_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*fum_e,abcd,,
central02,EX_glc_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*glc_DASH_D_e,abcdef,,
central02,EX_glyc_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*glyc_e,abc,,
central02,EX_lac_DASH_D_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*lac_DASH_D_e,abc,,
central02,EX_lac_DASH_L_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*lac_DASH_L_e,abc,,
central02,EX_pyr_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*pyr_e,abc,,
central02,EX_succ_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*succ_e,abcd,,
central02,F6PA,,TRUE,C,C,individual,1*f6p_c,abcdef,0.5*dha_c+0.5*dha_c+1*g3p_c,abc+cba+def
central02,F6PA_reverse,,TRUE,C,C,individual,0.5*dha_c+0.5*dha_c+1*g3p_c,abc+cba+def,1*f6p_c,abcdef
central02,APRAUR,,TRUE,C,C,added FADSYN,1*5apru_c,abcdefghi,1*5aprbu_c,abcdefghi
central02,DB4PS,,TRUE,C,C,added FADSYN,1*ru5p_DASH_D_c,abcde,1*db4p_c+1*for_c,bcde+a
central02,DHPPDA2,,TRUE,C,C,added FADSYN,1*25drapp_c,abcdefghi,1*5apru_c,abcdefghi
central02,FADSYN,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,DB4PS,RBFSa,RBFSb,RBFK,FMNAT]",TRUE,C,C,combo,,,,
central02,FADSYN_1,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,C,C,combo,1*gtp_c,abcdefghij,1*for_c,j
central02,FADSYN_1_Full,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",FALSE,C,C,combo,1*gtp_c+1*ru5p_DASH_D_c,abcdefghij+klmno,1*4r5au_c+1*for_c+1*db4p_c+1*for_c,abcdefghi+j+lmno+k
central02,FADSYN_2,"[RBFSa,DB4PS]",TRUE,C,C,combo,1*ru5p_DASH_D_c,abcde,1*for_c,a
central02,FADSYN_3,"[RBFK,FMNAT]",TRUE,C,C,combo,,,,
central02,FADSYN_3_Full,"[RBFK,FMNAT]",FALSE,C,C,combo,1*ribflv_c+1*atp_c,abcdefghijklmnopq+ABCDEFGHIJ,1*fad_c,abcdefghijklmnopqABCDEFGHIJ
central02,FMNAT,,TRUE,C,C,added FADSYN,1*fmn_c+1*atp_c,abcdefghijklmnopq+ABCDEFGHIJ,1*fad_c,abcdefghijklmnopqABCDEFGHIJ
central02,GTPCII2,,TRUE,C,C,added FADSYN,1*gtp_c,abcdefghij,1*25drapp_c+1*for_c,abcdefghi+j
central02,PMDPHT,,TRUE,C,C,added FADSYN,1*5aprbu_c,abcdefghi,1*4r5au_c,abcdefghi
central02,RBFK,,TRUE,C,C,added FADSYN,1*ribflv_c,abcdefghijklmnopq,1*fmn_c,abcdefghijklmnopq
central02,RBFSa,,TRUE,C,C,added FADSYN,1*4r5au_c+1*db4p_c,abcdefghi+jklm,0.5*dmlz_c+0.5*dmlz_c,abcdefghijklm+abcdefghimlkj
central02,RBFSb,,TRUE,C,C,added FADSYN,2*dmlz_c,abcdefghijklm+ABCDEFGHIJKLM,0.5*4r5au_c+0.5*ribflv+0.5*4r5au_c+0.5*ribflv,abcdefghi+ABCDEFGHIJKLMjklm+ABCDEFGHI+abcdefghiJKLM
central02,FBA,,TRUE,C,C,individual,1*fdp_c,abcdef,1*dhap_c+1*g3p_c,abc+def
central02,FBA_reverse,,TRUE,C,C,individual,1*dhap_c+1*g3p_c,abc+def,1*fdp_c,abcdef
central02,FBP,,TRUE,C,C,individual,1*fdp_c,abcdef,1*f6p_c,abcdef
central02,FDH2,,TRUE,C,C,individual,1*for_c,a,1*co2_c,a
central02,FDH3,,TRUE,C,C,individual,1*for_c,a,1*co2_c,a
central02,FHL,,TRUE,C,C,individual,1*for_c,a,1*co2_c,a
central02,FORt2pp,,TRUE,C,C,individual,1*for_p,a,1*for_c,a
central02,FORtex,,TRUE,C,C,individual,1*for_e,a,1*for_p,a
central02,FORt2pp_reverse,,TRUE,C,C,individual,1*for_c,a,1*for_p,a
central02,FORtex_reverse,,TRUE,C,C,individual,1*for_p,a,1*for_e,a
central02,FRD2,,TRUE,C,C,individual,1*fum_c,abcd,0.5*succ_c+0.5*succ_c,abcd+dcba
central02,FRD3,,TRUE,C,C,individual,1*fum_c,abcd,0.5*succ_c+0.5*succ_c,abcd+dcba
central02,FTHFD,,TRUE,C,C,individual,1*10fthf_c,a,1*for_c,a
central02,FUMt2_2pp,,TRUE,C,C,individual,1*fum_p,abcd,0.5*fum_c+0.5*fum_c,abcd+dcba
