rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping
COMBO10,ADSL1r,,TRUE,added imp_to_amp,1 xdcamp_c > 1 xamp_c 1 xfum_c,"#abcdefghijklmn > #abcdefghij #klmn,#abcdefghijklmn > #abcdefghij #nmlk"
dTTPSYN,utp_to_dump_anaerobic,"['RNTR4c2','DUTPDP']",TRUE,combo,1 xutp_c > 1 xdump_c,#abcdefghi > #abcdefghi
dTTPSYN,udp_to_dump_aerobic,"['RNDR4','NDPK6','DUTPDP']",TRUE,combo,1 xudp_c > 1 xdump_c,#abcdefghi > #abcdefghi
dTTPSYN,dtmp_to_dttp,"[DTMPK,NDPK4]",TRUE,combo,1 xdtmp_c > 1 xdttp_c,#abcdefghij > #abcdefghij
dTTPSYN,TMDS,,TRUE,combo,1 xdump_c 1 xmlthf_c > 1 xdtmp_c,#abcdefghi #j > #abcdefghij
dTTPSYN,DTMPK,,TRUE,added dtmp_to_dttp,1 xdtmp_c > 1 xdtdp_c,#abcdefghij > #abcdefghij
dTTPSYN,NDPK4,,TRUE,added dtmp_to_dttp,1 xdtdp_c > 1 xdttp_c,#abcdefghij > #abcdefghij
COASYN,COASYN_Full,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,combo,1 x3mob_c 1 xmlthf_c 1 xasp_DASH_L_c 1 xcys_DASH_L_c 1 xatp_c > 1 xcoa_c 1 xco2_c 1 xco2_c ,#abcde #f #ghij #klm #123456789n > #123456789nfedcbajihml #g #k
,COASYN,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,combo,1 x3mob_c 1 xmlthf_c 1 xasp_DASH_L_c 1 xcys_DASH_L_c > 1 xco2_c 1 xco2_c ,#abcde #f #ghij #klm > #g #k
FADSYN,FADSYN,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,DB4PS,RBFSa,RBFSb,RBFK,FMNAT]",TRUE,combo,    ,
,FADSYN_1_Full,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,combo,1 xgtp_c 1 xru5p_DASH_D_c > 1 x4r5au_c 1 xfor_c 1 xdb4p_c 1 xfor_c,#abcdefghij #klmno > #abcdefghi #j #lmno #k
,FADSYN_1,"[GTPCII2,DHPPDA2,APRAUR,PMDPHT,RBFSb]",TRUE,combo,1 xgtp_c > 1 xfor_c,#abcdefghij > #j
FADSYN,GTPCII2,,TRUE,added FADSYN,1 xgtp_c > 1 x25drapp_c 1 xfor_c,#abcdefghij > #abcdefghi #j
FADSYN,DHPPDA2,,TRUE,added FADSYN,1 x25drapp_c > 1 x5apru_c,#abcdefghi > #abcdefghi
FADSYN,APRAUR,,TRUE,added FADSYN,1 x5apru_c > 1 x5aprbu_c,#abcdefghi > #abcdefghi
FADSYN,PMDPHT,,TRUE,added FADSYN,1 x5aprbu_c > 1 x4r5au_c,#abcdefghi > #abcdefghi
FADSYN,RBFSb,,TRUE,added FADSYN,2 xdmlz_c > 1 x4r5au_c 1 xribflv,"#abcdefghijklm #ABCDEFGHIJKLM > #abcdefghi #ABCDEFGHIJKLMjklm,#abcdefghijklm #ABCDEFGHIJKLM > #ABCDEFGHI #abcdefghiJKLM"
FADSYN,FADSYN_2,"[RBFSa,DB4PS]",TRUE,combo,1 xru5p_DASH_D_c > 1 xfor_c,#abcde > #a
FADSYN,RBFSa,,TRUE,added FADSYN,1 x4r5au_c 1 xdb4p_c > 1 xdmlz_c,"#abcdefghi #jklm > #abcdefghijklm,#abcdefghi #jklm > #abcdefghimlkj"
FADSYN,DB4PS,,TRUE,added FADSYN,1 xru5p_DASH_D_c > 1 xdb4p_c 1 xfor_c,#abcde > #bcde #a
FADSYN,FADSYN_3_Full,"[RBFK,FMNAT]",TRUE,combo,1 xribflv_c 1 xatp_c > 1 xfad_c,#abcdefghijklmnopq #ABCDEFGHIJ > #abcdefghijklmnopqABCDEFGHIJ
FADSYN,FADSYN_3,"[RBFK,FMNAT]",TRUE,combo,,
FADSYN,RBFK,,TRUE,added FADSYN,1 xribflv_c > 1 xfmn_c,#abcdefghijklmnopq > #abcdefghijklmnopq
FADSYN,FMNAT,,TRUE,added FADSYN,1 xfmn_c 1 xatp_c > 1 xfad_c,#abcdefghijklmnopq #ABCDEFGHIJ > #abcdefghijklmnopqABCDEFGHIJ
NADSYN1,NADSYN_aerobic_Full,"[ASPO6,QULNS,NNDPR,NNATr,NADS1,NADK]",TRUE,combo,1 xdhap_c 1 xprpp_c 1 xasp_DASH_L_c 1 xatp_c > 1 xnad_c 1 xco2_c ,#abc #defgh #ijkl #123456789A > #defghjklabc123456789A #i
NADSYN1,NADSYN_aerobic,"[ASPO6,QULNS,NNDPR,NNATr,NADS1,NADK]",TRUE,combo,1 xdhap_c 1 xprpp_c 1 xasp_DASH_L_c > 1 xco2_c ,#abc #defgh #ijkl > #i
NADSYN1,ASPO6,,TRUE,add NADSYN_aerobic,1 xasp_DASH_L_c > 1 xiasp_c,#abcd > #abcd
NADSYN1,QULNS,,TRUE,add NADSYN_aerobic,1 xiasp_c 1 xdhap_c > 1 xquln_c,#abcd #efg > #abcdefg
NADSYN1,NNDPR,,TRUE,add NADSYN_aerobic,1 xquln_c 1 xprpp_c > 1 xnicrnt_c 1 xco2_c,#abcdefg #ABCDE > #ABCDEbcdefg #a
NADSYN1,NNATr,,TRUE,add NADSYN_aerobic,1 xnicrnt_c 1 xatp_c > 1 xdnad_c,#abcdefghijk #lmnopqrstuv > #abcdefghijklmnopqrstu
NADSYN1,NADS1,,TRUE,add NADSYN_aerobic,1 xdnad_c > 1 xnad_c,#abcdefghijklmnopqrstu > #abcdefghijklmnopqrstu
NADSYN1,NADK,,TRUE,add NADSYN_aerobic,1 xnad_c > 1 xnadp_c,#abcdefghijklmnopqrstu > #abcdefghijklmnopqrstu
