Sample Name,Sample Type,Component Group Name
140521_Blank-02,Blank,btn
140521_Blank-02,Blank,mmal
140521_Blank-02,Blank,mmal
140521_Blank-02,Blank,succ
140521_Blank-02,Blank,succ
140521_Blank-02,Blank,mal-L
140521_Blank-02,Blank,glutacon
140521_Blank-02,Blank,fum
140521_Blank-02,Blank,udpg
140521_Blank-02,Blank,udpg
140521_Blank-02,Blank,damp
140521_Blank-02,Blank,damp
140521_Blank-02,Blank,oxa
140521_Blank-02,Blank,oxa
140521_Blank-02,Blank,actp
140521_Blank-02,Blank,actp
140521_Blank-02,Blank,akg
140521_Blank-02,Blank,oaa
140521_Blank-02,Blank,dtdpglu
140521_Blank-02,Blank,dtdpglu
140521_Blank-02,Blank,nadh
140521_Blank-02,Blank,nadh
140521_Blank-02,Blank,adpglc
140521_Blank-02,Blank,adpglc
140521_Blank-02,Blank,chor
140521_Blank-02,Blank,fol
140521_Blank-02,Blank,fol
140521_Blank-02,Blank,dgdp
140521_Blank-02,Blank,dgdp
140521_Blank-02,Blank,gdp
140521_Blank-02,Blank,gdp
140521_Blank-02,Blank,6pgc
140521_Blank-02,Blank,Pool_2pg_3pg
140521_Blank-02,Blank,Pool_2pg_3pg
140521_Blank-02,Blank,dcdp
140521_Blank-02,Blank,dcdp
140521_Blank-02,Blank,adp
140521_Blank-02,Blank,adp
140521_Blank-02,Blank,2mcit
140521_Blank-02,Blank,2mcit
140521_Blank-02,Blank,udp
140521_Blank-02,Blank,udp
140521_Blank-02,Blank,acon-C
140521_Blank-02,Blank,acon-C
140521_Blank-02,Blank,nadp
140521_Blank-02,Blank,nadp
140521_Blank-02,Blank,pep
140521_Blank-02,Blank,pep
140521_Blank-02,Blank,dadp
140521_Blank-02,Blank,dadp
140521_Blank-02,Blank,cit
140521_Blank-02,Blank,cit
140521_Blank-02,Blank,icit
140521_Blank-02,Blank,icit
140521_Blank-02,Blank,fad
140521_Blank-02,Blank,fad
140521_Blank-02,Blank,fdp
140521_Blank-02,Blank,fdp
140521_Blank-02,Blank,udpglcur
140521_Blank-02,Blank,udpglcur
140521_Blank-02,Blank,dgtp
140521_Blank-02,Blank,ctp
140521_Blank-02,Blank,ctp
140521_Blank-02,Blank,dctp
140521_Blank-02,Blank,dctp
140521_Blank-02,Blank,ditp
140521_Blank-02,Blank,ditp
140521_Blank-02,Blank,dutp
140521_Blank-02,Blank,dutp
140521_Blank-02,Blank,itp
140521_Blank-02,Blank,itp
140521_Blank-02,Blank,utp
140521_Blank-02,Blank,utp
140521_Blank-02,Blank,23dpg
140521_Blank-02,Blank,23dpg
140521_Blank-02,Blank,atp
140521_Blank-02,Blank,atp
140521_Blank-02,Blank,datp
140521_Blank-02,Blank,datp
140521_Blank-02,Blank,dttp
140521_Blank-02,Blank,dttp
140521_Blank-02,Blank,gtp
140521_Blank-02,Blank,gtp
140521_Blank-02,Blank,prpp
140521_Blank-02,Blank,prpp
140521_Blank-02,Blank,nadph
140521_Blank-02,Blank,nadph
140521_Blank-02,Blank,phpyr
140521_Blank-02,Blank,phpyr
140521_Blank-02,Blank,coa
140521_Blank-02,Blank,accoa
140521_Blank-02,Blank,malcoa
140521_Blank-02,Blank,succoa
140521_CM1_Level14,Standard,arg-L
140521_CM1_Level14,Standard,orn
140521_CM1_Level14,Standard,his-L
140521_CM1_Level14,Standard,his-L
140521_CM1_Level14,Standard,asn-L
140521_CM1_Level14,Standard,asn-L
140521_CM1_Level14,Standard,ser-L
140521_CM1_Level14,Standard,ser-L
140521_CM1_Level14,Standard,citr-L
140521_CM1_Level14,Standard,gln-L
140521_CM1_Level14,Standard,gln-L
140521_CM1_Level14,Standard,Hexose_Pool_fru_glc-D
140521_CM1_Level14,Standard,Hexose_Pool_fru_glc-D
140521_CM1_Level14,Standard,Lcystin
140521_CM1_Level14,Standard,thr-L
140521_CM1_Level14,Standard,ala-L
140521_CM1_Level14,Standard,ala-L
140521_CM1_Level14,Standard,cytd
140521_CM1_Level14,Standard,ura
140521_CM1_Level14,Standard,AICAr
140521_CM1_Level14,Standard,met-L
140521_CM1_Level14,Standard,uri
140521_CM1_Level14,Standard,uri
140521_CM1_Level14,Standard,gua
140521_CM1_Level14,Standard,hxan
140521_CM1_Level14,Standard,tyr-L
140521_CM1_Level14,Standard,tyr-L
140521_CM1_Level14,Standard,xan
140521_CM1_Level14,Standard,ins
140521_CM1_Level14,Standard,ins
140521_CM1_Level14,Standard,gsn
140521_CM1_Level14,Standard,gsn
140521_CM1_Level14,Standard,thym
140521_CM1_Level14,Standard,ade
140521_CM1_Level14,Standard,ade
140521_CM1_Level14,Standard,gam6p
140521_CM1_Level14,Standard,gam6p
140521_CM1_Level14,Standard,adn
140521_CM1_Level14,Standard,phe-L
140521_CM1_Level14,Standard,phe-L
140521_CM1_Level14,Standard,asp-L
140521_CM1_Level14,Standard,asp-L
140521_CM1_Level14,Standard,glu-L
140521_CM1_Level14,Standard,glu-L
140521_CM1_Level14,Standard,skm
140521_CM1_Level14,Standard,skm
140521_CM1_Level14,Standard,glx
140521_CM1_Level14,Standard,glyclt
140521_CM1_Level14,Standard,glyclt
140521_CM1_Level14,Standard,trp-L
140521_CM1_Level14,Standard,trp-L
140521_CM1_Level14,Standard,5oxpro
140521_CM1_Level14,Standard,5oxpro
140521_CM1_Level14,Standard,lac-L
140521_CM1_Level14,Standard,lac-L
140521_CM1_Level14,Standard,urate
140521_CM1_Level14,Standard,urate
140521_CM1_Level14,Standard,gthrd
140521_CM1_Level14,Standard,gthrd
140521_CM1_Level14,Standard,nad
140521_CM1_Level14,Standard,nad
140521_CM1_Level14,Standard,pyr
140521_CM1_Level14,Standard,pyr
140521_CM1_Level14,Standard,f6p
140521_CM1_Level14,Standard,f6p
140521_CM1_Level14,Standard,g3p
140521_CM1_Level14,Standard,g3p
140521_CM1_Level14,Standard,g6p
140521_CM1_Level14,Standard,g6p
140521_CM1_Level14,Standard,r5p
140521_CM1_Level14,Standard,r5p
140521_CM1_Level14,Standard,s7p
140521_CM1_Level14,Standard,s7p
140521_CM1_Level14,Standard,glyc3p
140521_CM1_Level14,Standard,glyc3p
140521_CM1_Level14,Standard,r5p
140521_CM1_Level14,Standard,r5p
140521_CM1_Level14,Standard,g1p
140521_CM1_Level14,Standard,g1p
140521_CM1_Level14,Standard,cmp
140521_CM1_Level14,Standard,cmp
140521_CM1_Level14,Standard,ru5p-D
140521_CM1_Level14,Standard,ru5p-D
140521_CM1_Level14,Standard,2obut
140521_CM1_Level14,Standard,2obut
140521_CM1_Level14,Standard,f1p
140521_CM1_Level14,Standard,f1p
140521_CM1_Level14,Standard,ru5p-D
140521_CM1_Level14,Standard,ru5p-D
140521_CM1_Level14,Standard,dcmp
140521_CM1_Level14,Standard,dcmp
140521_CM1_Level14,Standard,ump
140521_CM1_Level14,Standard,ump
140521_CM1_Level14,Standard,dhap
140521_CM1_Level14,Standard,dhap
140521_CM1_Level14,Standard,dump
140521_CM1_Level14,Standard,dump
140521_CM1_Level14,Standard,dimp
140521_CM1_Level14,Standard,dimp
140521_CM1_Level14,Standard,35cgmp
140521_CM1_Level14,Standard,35cgmp
140521_CM1_Level14,Standard,dgmp
140521_CM1_Level14,Standard,dgmp
140521_CM1_Level14,Standard,dtmp
140521_CM1_Level14,Standard,ribflv
140521_CM1_Level14,Standard,amp
140521_CM1_Level14,Standard,amp
140521_CM1_Level14,Standard,gmp
140521_CM1_Level14,Standard,gmp
140521_CM1_Level14,Standard,imp
140521_CM1_Level14,Standard,imp
140521_CM1_Level14,Standard,camp
140521_CM1_Level14,Standard,camp
140521_CM1_Level14,Standard,gthox
140521_CM1_Level14,Standard,gthox
140521_CM1_Level14,Standard,btn
140521_CM1_Level14,Standard,btn
140521_CM1_Level14,Standard,mmal
140521_CM1_Level14,Standard,mmal
140521_CM1_Level14,Standard,succ
140521_CM1_Level14,Standard,succ
