experiment_id,time_point,sample_name_abbreviation,met_id,concentration,concentration_var,concentration_units,concentration_lb,concentration_ub,measured,used_,comment_
rpomut02,0,OxicRpoBE672K-rph-pyrE82,pi_c,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,o2_c,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,h2o_c,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicWtGlc,co2_c,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,pi_c,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicWtGlc,o2_c,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2o_c,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2_e,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2_e,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,h2_e,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,h2_e,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2_e,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2_p,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2_p,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,h2_p,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,h2_p,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2_p,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2_c,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2_c,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,h2_c,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,h2_c,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
rpomut02,0,OxicWtGlc,h2_c,,,M,3.40E-05,3.40E-05,TRUE,TRUE,
