"experiment_id","sample_name_short","time_point","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_"
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","g6p","g6p.g6p_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","g6p","g6p.g6p_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","g6p","g6p.g6p_2.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","gam6p","gam6p.gam6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","gdp","gdp.gdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","gln-L","gln-L.gln-L_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","glu-L","glu-L.glu-L_1.Light",6.6957902946747,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","glu-L","glu-L.glu-L_1.Light",9.02647428531641,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","glu-L","glu-L.glu-L_1.Light",8.13874621045012,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","glu-L","glu-L.glu-L_1.Light",5.78255546958556,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","glu-L","glu-L.glu-L_1.Light",9.50507668059272,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","glu-L","glu-L.glu-L_1.Light",9.49648015652852,"mM",t
