"experiment_id","sample_name_abbreviation","time_point","component_group_name","component_name","n_replicates_broth","calculated_concentration_broth_average","calculated_concentration_broth_cv","n_replicates_filtrate","calculated_concentration_filtrate_average","calculated_concentration_filtrate_cv","n_replicates","calculated_concentration_average","calculated_concentration_cv","calculated_concentration_units","extracellular_percent","used_"
"rpomut02","OxicRpoBE546V","0","g6p","g6p.g6p_2.Light",6,0.4544887465,9.25886752178507,1,0.014217462,0,6,0.4402712845,9.5578595337295,"mM",3.12823191101829,t
"rpomut02","OxicRpoBE546V","0","gam6p","gam6p.gam6p_1.Light",6,0.0671663703333333,18.7582101312,0,0,0,6,0.0671663703333333,18.7582101312,"mM",0,t
"rpomut02","OxicRpoBE546V","0","gdp","gdp.gdp_1.Light",6,0.118677520666667,26.4890804418151,0,0,0,6,0.118677520666667,26.4890804418151,"mM",0,t
"rpomut02","OxicRpoBE546V","0","gln-L","gln-L.gln-L_1.Light",6,1.366484554,14.5555060014882,0,0,0,6,1.366484554,14.5555060014882,"mM",0,t
"rpomut02","OxicRpoBE546V","0","glu-L","glu-L.glu-L_1.Light",6,11.539279595,7.00374704898226,2,0.0293207695,1.85804298212569,6,11.5099588255,7.02159017232463,"mM",0.254095320757327,t
"rpomut02","OxicRpoBE546V","0","glx","glx.glx_1.Light",6,0.2810145035,39.1353656855503,2,0.1612444955,11.6470689072298,6,0.119770008,93.1519123854466,"mM",57.3794211657122,t
"rpomut02","OxicRpoBE546V","0","glyc3p","glyc3p.glyc3p_1.Light",6,0.137967002166667,12.476750104645,2,0.0276540665,11.0194336156673,6,0.110312935666667,15.8471421072659,"mM",20.0439714320917,t
"rpomut02","OxicRpoBE546V","0","glyclt","glyclt.glyclt_1.Light",6,0.130144760666667,28.1965373486174,2,0.0570501705,6.2739418105683,6,0.0730945901666667,50.4421213869894,"mM",43.8359333159172,t
"rpomut02","OxicRpoBE546V","0","gsn","gsn.gsn_1.Light",6,0.000911566166666667,10.9415953308814,0,0,0,6,0.000911566166666667,10.9415953308814,"mM",0,t
"rpomut02","OxicRpoBE546V","0","gthox","gthox.gthox_1.Light",6,0.463053101333333,25.8969071126309,2,0.000447385,90.254478804609,6,0.462605716333333,25.9220989095104,"mM",0.0966163489050785,t
"rpomut02","OxicRpoBE546V","0","gthrd","gthrd.gthrd_1.Light",6,2.52113370633333,11.6628027265666,0,0,0,6,2.52113370633333,11.6628027265666,"mM",0,t
"rpomut02","OxicRpoBE546V","0","gtp","gtp.gtp_1.Light",6,0.192815793,8.31381710519506,0,0,0,6,0.192815793,8.31381710519506,"mM",0,t
"rpomut02","OxicRpoBE546V","0","gua","gua.gua_1.Light",6,0.0013845485,24.6927529750152,0,0,0,6,0.0013845485,24.6927529750152,"mM",0,t
"rpomut02","OxicRpoBE546V","0","hxan","hxan.hxan_1.Light",6,0.00152009483333333,8.37807352707561,2,0.000101691,42.6694594408551,6,0.00141840383333333,9.48556604611555,"mM",6.68977999070014,t
"rpomut02","OxicRpoBE546V","0","icit","icit.icit_2.Light",6,0.0238566168333333,19.261970827325,2,0.0070496705,18.4077326734633,6,0.0168069463333333,28.410700401708,"mM",29.5501686146459,t
"rpomut02","OxicRpoBE546V","0","imp","imp.imp_1.Light",3,0.026091417,32.0714108477645,0,0,0,3,0.026091417,32.0714108477645,"mM",0,t
"rpomut02","OxicRpoBE546V","0","ins","ins.ins_1.Light",6,0.0020537085,14.7238451662578,2,0.0006534185,1.06769245131566,6,0.00140029,21.600191994435,"mM",31.8165163167022,t
"rpomut02","OxicRpoBE546V","0","itp","itp.itp_1.Light",6,0.00169118633333333,28.7910705263184,0,0,0,6,0.00169118633333333,28.7910705263184,"mM",0,t
"rpomut02","OxicRpoBE546V","0","lac-L","lac-L.lac-L_1.Light",6,0.536753135166667,14.6861006578804,2,0.240663913,14.3678932038307,6,0.296089222166667,29.0718569695341,"mM",44.8369831925195,t
