experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-2,0,cmp,cmp.cmp_1.Light,0.00417164,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,cmp,cmp.cmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,cmp,cmp.cmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,cmp,cmp.cmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,cmp,cmp.cmp_1.Light,0.005493167,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,coa,coa.coa_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,coa,coa.coa_1.Light,0.036728369,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,coa,coa.coa_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,coa,coa.coa_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,coa,coa.coa_1.Light,0.050135527,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,coa,coa.coa_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,ctp,ctp.ctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,ctp,ctp.ctp_1.Light,0.004864298,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,ctp,ctp.ctp_1.Light,0.024905266,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,ctp,ctp.ctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,ctp,ctp.ctp_1.Light,0.00346516,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,ctp,ctp.ctp_1.Light,0.035497361,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dadp,dadp.dadp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dadp,dadp.dadp_1.Light,0.005108642,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dadp,dadp.dadp_1.Light,0.009885817,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dadp,dadp.dadp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dadp,dadp.dadp_1.Light,0.007621634,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dadp,dadp.dadp_1.Light,0.009865114,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,damp,damp.damp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,damp,damp.damp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,damp,damp.damp_1.Light,0.000141275,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,damp,damp.damp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,damp,damp.damp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,damp,damp.damp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,datp,datp.datp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,datp,datp.datp_1.Light,0.008473919,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,datp,datp.datp_1.Light,0.00572043,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,datp,datp.datp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,datp,datp.datp_1.Light,0.00588138,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,datp,datp.datp_1.Light,0.009162396,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dcdp,dcdp.dcdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dcdp,dcdp.dcdp_1.Light,0.010416169,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dcdp,dcdp.dcdp_1.Light,0.01145599,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dcdp,dcdp.dcdp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dcdp,dcdp.dcdp_1.Light,0.005641842,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dcdp,dcdp.dcdp_1.Light,0.016245772,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dcmp,dcmp.dcmp_1.Light,0.001155303,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dcmp,dcmp.dcmp_1.Light,0.000937455,mM,t
