experiment_id,model_id,mapping_id,sample_name_abbreviation,time_point,flux_units,used_,comment_,rxn_id,rxn_id_INCA,rxn_equation,flux_average,flux_stdev,flux_lb,flux_ub,flux_difference
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,RPI,R73,ru5p_DASH_D_c -> r5p_c,1000,22.033,999.8936,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,RPI_reverse,R74,r5p_c -> ru5p_DASH_D_c,999.0301,22.0331,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,SERAT_CYSS,R75,3*atp_c + ser_DASH_L_c + so4_c + accoa_c + 4*nadph_c -> ac_c + cys_DASH_L_c,0.1639,0.0018,0.1593,0.1684,0.0091
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,SerSYN,R76,glu_DASH_L_c + 3pg_c -> akg_c + nadh_c + ser_DASH_L_c,0.7894,0.2244,0.7258,0.8115,0.0857
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,SUCOAS,R77,succoa_c -> succ_c + atp_c,4.779,22.0425,3.6727,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,SUCOAS_reverse,R78,succ_c + atp_c -> succoa_c,3.1462,22.033,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,SUCDi,R79,succ_c -> fadh2_c + fum_c,2.9644,0.656,1.896,4.5018,2.6058
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,SUCDi_reverse,R80,fadh2_c + fum_c -> succ_c,0.5397,0.2402,0.0839,1.2911,1.2072
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TALA,R81,s7p_c -> e4p_c + TA_C3_c,0.4314,0.1923,0.2722,0.757,0.4848
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TALA_reverse,R82,e4p_c + TA_C3_c -> s7p_c,0.093,0.2092,0,0.4089,0.4089
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,THRD_GLYAT,R83,thr_DASH_L_c -> nadh_c + gly_c + accoa_c,1.00E-07,0.4479,0,0.1228,0.1228
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,ThrSYN,R84,2*atp_c + asp_DASH_L_c + 2*nadph_c -> thr_DASH_L_c,0.3636,0.4478,0.3534,0.4867,0.1333
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TKT1a,R85,s7p_c -> TK_C2_c + r5p_c,1.00E-07,0.836,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TKT1a_reverse,R86,TK_C2_c + r5p_c -> s7p_c,0.3384,0.8029,0.2332,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TKT1b,R87,f6p_c -> TA_C3_c + g3p_c,7.0763,0.8274,5.3275,8.7272,3.3997
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,TKT1b_reverse,R88,TA_C3_c + g3p_c -> f6p_c,7.4147,0.8387,5.7023,9.0353,3.333
