experiment_id,sample_name_abbreviation,time_point,component_group_name,component_name,n_replicates_broth,calculated_concentration_broth_average,calculated_concentration_broth_cv,n_replicates_filtrate,calculated_concentration_filtrate_average,calculated_concentration_filtrate_cv,n_replicates,calculated_concentration_average,calculated_concentration_cv,calculated_concentration_units,extracellular_percent,used_,comment_
rpomut02,OxicRpoBE672K,0,dttp,dttp.dttp_1.Light,6,0.026547459,18.64194509,2,0.001484762,2.75953044,6,0.025062697,19.74700622,mM,5.59285926,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dttp,dttp.dttp_1.Light,6,0.049270305,52.18011683,2,0.000736774,4.674276409,6,0.048533531,52.97229579,mM,1.495370619,t,
rpomut02,OxicWtGlc,0,dttp,dttp.dttp_1.Light,6,0.036240501,22.47384348,2,0.002897991,4.130841772,6,0.03334251,24.429814,mM,7.996553131,t,
rpomut02,OxicRph-pyrE82,0,dump,dump.dump_1.Light,6,0.001853797,52.46909338,2,0.004562885,5.317762515,6,0,0,mM,246.1372846,t,
rpomut02,OxicRpoBE546V,0,dump,dump.dump_1.Light,6,0.00787713,16.11489551,0,0,0,6,0.00787713,16.11489551,mM,0,t,
rpomut02,OxicRpoBE672K,0,dump,dump.dump_1.Light,6,0.012266278,12.51098684,1,0.000294129,0,6,0.011972149,12.81835427,mM,2.397869695,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dump,dump.dump_1.Light,6,0.017603115,60.91992499,0,0,0,6,0.017603115,60.91992499,mM,0,t,
rpomut02,OxicWtGlc,0,dump,dump.dump_1.Light,6,0.002676219,18.98689794,0,0,0,6,0.002676219,18.98689794,mM,0,t,
rpomut02,OxicRph-pyrE82,0,f1p,f1p.f1p_1.Light,4,0.064552519,7.700068074,2,0.074289449,2.729682275,4,0,0,mM,115.0837345,t,
rpomut02,OxicRpoBE546V,0,f1p,f1p.f1p_1.Light,6,0.034216905,15.84847163,1,0.006080123,0,6,0.028136782,19.27319392,mM,17.7693552,t,
rpomut02,OxicRpoBE672K,0,f1p,f1p.f1p_1.Light,6,0.027587168,18.97891767,0,0,0,6,0.027587168,18.97891767,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,f1p,f1p.f1p_1.Light,6,0.046299849,43.97119106,0,0,0,6,0.046299849,43.97119106,mM,0,t,
rpomut02,OxicWtGlc,0,f1p,f1p.f1p_1.Light,6,0.030564258,37.18180186,0,0,0,6,0.030564258,37.18180186,mM,0,t,
rpomut02,OxicRph-pyrE82,0,f6p,f6p.f6p_1.Light,6,0.393678096,58.21390053,2,0.468864143,5.473078299,6,0,0,mM,119.0983565,t,
rpomut02,OxicRpoBE546V,0,f6p,f6p.f6p_1.Light,6,0.5582357,13.70202156,2,0.015989879,20.99791926,6,0.542245821,14.11965347,mM,2.864359816,t,
rpomut02,OxicRpoBE672K,0,f6p,f6p.f6p_1.Light,6,0.54787076,12.6200347,2,0.014819257,3.412202917,6,0.533051503,12.9712286,mM,2.704881822,t,
