"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
40890,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4-10.0x","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4","s7p","s7p.s7p_1.Light",0.0219255121738778,"mM",t,""
37907,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-1-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-1","s7p","s7p.s7p_1.Light",0.0407124781520563,"mM",f,""
37909,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-1-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-1","ump","ump.ump_1.Light",0.0341574532602814,"mM",f,""
37991,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-2-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-2","s7p","s7p.s7p_1.Light",0.0337925579847387,"mM",f,""
37993,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-2-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-2","ump","ump.ump_1.Light",0.0740861064448836,"mM",f,""
38080,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-3-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-3","s7p","s7p.s7p_1.Light",0.0314298800277959,"mM",f,""
38082,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-3-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-3","ump","ump.ump_1.Light",0.0462660916721169,"mM",f,""
38165,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-4-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-4","s7p","s7p.s7p_1.Light",0.031068103219697,"mM",f,""
38167,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-4-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-4","ump","ump.ump_1.Light",0.0469226755952381,"mM",f,""
38249,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-5-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-5","s7p","s7p.s7p_1.Light",0.0309410400883838,"mM",f,""
