ms_group,q1_mass,rt
met-L.met-L_m1-1,149.0465791,1.22
met-L.met-L_m2-0,150.0499339,1.22
met-L.met-L_m2-1,150.0499339,1.22
met-L.met-L_m3-0,151.0532888,1.22
met-L.met-L_m3-1,151.0532888,1.22
met-L.met-L_m4-0,152.0566436,1.22
met-L.met-L_m4-1,152.0566436,1.22
met-L.met-L_m5-1,153.0599984,1.22
pep.pep_m0-0,166.9745494,14.2
pep.pep_m1-0,167.9779042,14.2
pep.pep_m2-0,168.981259,14.2
pep.pep_m3-0,169.9846139,14.2
phe-L.phe-L_m0-0,164.0711536,2
phe-L.phe-L_m1-1,165.0745084,2
phe-L.phe-L_m2-2,166.0778632,2
phe-L.phe-L_m3-3,167.0812181,2
phe-L.phe-L_m4-4,168.0845729,2
phe-L.phe-L_m5-5,169.0879278,2
phe-L.phe-L_m6-6,170.0912826,2
phe-L.phe-L_m7-7,171.0946374,2
phe-L.phe-L_m8-8,172.0979923,2
phe-L.phe-L_m9-9,173.1013471,2
phpyr.phpyr_m0-0,163.0395191,16.2
phpyr.phpyr_m1-0,164.0428739,16.2
phpyr.phpyr_m1-1,164.0428739,16.2
phpyr.phpyr_m2-0,165.0462288,16.2
phpyr.phpyr_m2-1,165.0462288,16.2
phpyr.phpyr_m2-2,165.0462288,16.2
phpyr.phpyr_m3-1,166.0495836,16.2
phpyr.phpyr_m3-2,166.0495836,16.2
phpyr.phpyr_m3-3,166.0495836,16.2
phpyr.phpyr_m4-2,167.0529384,16.2
phpyr.phpyr_m4-3,167.0529384,16.2
phpyr.phpyr_m4-4,167.0529384,16.2
phpyr.phpyr_m5-3,168.0562933,16.2
phpyr.phpyr_m5-4,168.0562933,16.2
phpyr.phpyr_m5-5,168.0562933,16.2
phpyr.phpyr_m6-4,169.0596481,16.2
phpyr.phpyr_m6-5,169.0596481,16.2
phpyr.phpyr_m6-6,169.0596481,16.2
phpyr.phpyr_m7-5,170.063003,16.2
phpyr.phpyr_m7-6,170.063003,16.2
phpyr.phpyr_m7-7,170.063003,16.2
phpyr.phpyr_m8-6,171.0663578,16.2
phpyr.phpyr_m8-7,171.0663578,16.2
phpyr.phpyr_m9-7,172.0697126,16.2
Pool_2pg_3pg.Pool_2pg_3pg_m0-0,184.9851141,13.8
Pool_2pg_3pg.Pool_2pg_3pg_m1-0,185.9884689,13.8
Pool_2pg_3pg.Pool_2pg_3pg_m2-0,186.9918237,13.8
Pool_2pg_3pg.Pool_2pg_3pg_m3-0,187.9951786,13.8
prpp.prpp_m0-0,388.9439896,16
prpp.prpp_m1-0,389.9473445,16
prpp.prpp_m2-0,390.9506993,16
prpp.prpp_m3-0,391.9540541,16
prpp.prpp_m4-0,392.957409,16
prpp.prpp_m5-0,393.9607638,16
pyr.pyr_m0-0,87.00821896,4.4
pyr.pyr_m1-0,88.0115738,4.4
pyr.pyr_m2-0,89.01492864,4.4
pyr.pyr_m3-0,90.01828348,4.4
ru5p-D.ru5p-D_m0-0,229.0113288,7.8
ru5p-D.ru5p-D_m1-0,230.0146836,7.8
